FD64    // 165: -0.16308593750000000000
FD80    // 166: -0.15625000000000000000
FD90    // 167: -0.15234375000000000000
FD94    // 168: -0.15136718750000000000
FD98    // 169: -0.15039062500000000000
FD90    // 170: -0.15234375000000000000
FD8C    // 171: -0.15332031250000000000
FD90    // 172: -0.15234375000000000000
FD8C    // 173: -0.15332031250000000000
FD98    // 174: -0.15039062500000000000
FDA8    // 175: -0.14648437500000000000
FDC0    // 176: -0.14062500000000000000
FDD0    // 177: -0.13671875000000000000
FDDC    // 178: -0.13378906250000000000
FDEC    // 179: -0.12988281250000000000
FDE4    // 180: -0.13183593750000000000
FDE8    // 181: -0.13085937500000000000
FDF0    // 182: -0.12890625000000000000
FE00    // 183: -0.12500000000000000000
FE14    // 184: -0.12011718750000000000
FE30    // 185: -0.11328125000000000000
FE40    // 186: -0.10937500000000000000
FE4C    // 187: -0.10644531250000000000
FE64    // 188: -0.10058593750000000000
FE7C    // 189: -0.09472656250000000000
FE88    // 190: -0.09179687500000000000
FE88    // 191: -0.09179687500000000000
FE78    // 192: -0.09570312500000000000
FE64    // 193: -0.10058593750000000000
FE64    // 194: -0.10058593750000000000
FE80    // 195: -0.09375000000000000000
FE90    // 196: -0.08984375000000000000
FEA4    // 197: -0.08496093750000000000
FEB0    // 198: -0.08203125000000000000
FEB4    // 199: -0.08105468750000000000
FEB4    // 200: -0.08105468750000000000
FEB8    // 201: -0.08007812500000000000
FEB4    // 202: -0.08105468750000000000
FEB4    // 203: -0.08105468750000000000
FEA0    // 204: -0.08593750000000000000
FEA8    // 205: -0.08398437500000000000
FEB0    // 206: -0.08203125000000000000
FEAC    // 207: -0.08300781250000000000
FEB4    // 208: -0.08105468750000000000
FEB0    // 209: -0.08203125000000000000
FE9C    // 210: -0.08691406250000000000
FEA0    // 211: -0.08593750000000000000
FEA8    // 212: -0.08398437500000000000
FEA0    // 213: -0.08593750000000000000
FE9C    // 214: -0.08691406250000000000
FEA4    // 215: -0.08496093750000000000
FE98    // 216: -0.08789062500000000000
FEA4    // 217: -0.08496093750000000000
FE9C    // 218: -0.08691406250000000000
FEA0    // 219: -0.08593750000000000000
FEA4    // 220: -0.08496093750000000000
FEA0    // 221: -0.08593750000000000000
FE90    // 222: -0.08984375000000000000
FE88    // 223: -0.09179687500000000000
FE7C    // 224: -0.09472656250000000000
FE84    // 225: -0.09277343750000000000
FE7C    // 226: -0.09472656250000000000
FE78    // 227: -0.09570312500000000000
FE74    // 228: -0.09667968750000000000
FE7C    // 229: -0.09472656250000000000
FE84    // 230: -0.09277343750000000000
FE88    // 231: -0.09179687500000000000
FE8C    // 232: -0.09082031250000000000
FE90    // 233: -0.08984375000000000000
FE94    // 234: -0.08886718750000000000
FE9C    // 235: -0.08691406250000000000
FE9C    // 236: -0.08691406250000000000
FE88    // 237: -0.09179687500000000000
FE7C    // 238: -0.09472656250000000000
FE90    // 239: -0.08984375000000000000
FE98    // 240: -0.08789062500000000000
FEA8    // 241: -0.08398437500000000000
FEA0    // 242: -0.08593750000000000000
FE84    // 243: -0.09277343750000000000
FE78    // 244: -0.09570312500000000000
FE70    // 245: -0.09765625000000000000
FE60    // 246: -0.10156250000000000000
FE68    // 247: -0.09960937500000000000
FE74    // 248: -0.09667968750000000000
FE64    // 249: -0.10058593750000000000
FE64    // 250: -0.10058593750000000000
FE64    // 251: -0.10058593750000000000
FE60    // 252: -0.10156250000000000000
FE6C    // 253: -0.09863281250000000000
FE5C    // 254: -0.10253906250000000000
FE64    // 255: -0.10058593750000000000
FE68    // 256: -0.09960937500000000000
FE6C    // 257: -0.09863281250000000000
FE7C    // 258: -0.09472656250000000000
FE74    // 259: -0.09667968750000000000
FE80    // 260: -0.09375000000000000000
