FBA5F5D0    // 143: -0.27198237180709838867
FB8405B8    // 144: -0.28026798367500305176
FB685B54    // 145: -0.28702227771282196045
FB597B48    // 146: -0.29065391421318054199
FB57EBB6    // 147: -0.29103497415781021118
FB5D8055    // 148: -0.28967253491282463074
FB620163    // 149: -0.28857289627194404602
FB6168B5    // 150: -0.28871850296854972839
FB5F8D6B    // 151: -0.28917177394032478333
FB671154    // 152: -0.28733699023723602295
FB847A73    // 153: -0.28015666082501411438
FBC0565C    // 154: -0.26554264128208160400
FC1B5CFF    // 155: -0.24331951513886451721
FC8E02FD    // 156: -0.21532918140292167664
FD0AFC19    // 157: -0.18481817469000816345
FD832F85    // 158: -0.15547225996851921082
FDE97B0B    // 159: -0.13049789145588874817
FE356733    // 160: -0.11196212843060493469
FE647E6D    // 161: -0.10046536847949028015
FE7A41B2    // 162: -0.09515219181776046753
FE7EC593    // 163: -0.09404985979199409485
FE7C1C3F    // 164: -0.09469962492585182190
FE7B2A36    // 165: -0.09493044763803482056
FE80F67B    // 166: -0.09351493790745735168
FE8D8D45    // 167: -0.09044144675135612488
FE9CF068    // 168: -0.08668479323387145996
FEA9A5A3    // 169: -0.08358227089047431946
FEAF857B    // 170: -0.08214809373021125793
FEAD79AF    // 171: -0.08264762535691261292
FEA57489    // 172: -0.08460566028952598572
FE9B0A72    // 173: -0.08714824169874191284
FE91A9AD    // 174: -0.08943779394030570984
FE8B8002    // 175: -0.09094237536191940308
FE8962FB    // 176: -0.09145833924412727356
FE8B4221    // 177: -0.09100138768553733826
FE9083FD    // 178: -0.08971787616610527039
FE97F262    // 179: -0.08790361136198043823
FE9F672F    // 180: -0.08608323708176612854
FEA3EB45    // 181: -0.08498070761561393738
FEA291A9    // 182: -0.08531030640006065369
FE99DA8E    // 183: -0.08743805438280105591
FE8AC39F    // 184: -0.09112203493714332581
FE78BFD8    // 185: -0.09552016854286193848
FE6851AC    // 186: -0.09953148663043975830
FE5D09B4    // 187: -0.10228566825389862061
FE57F12A    // 188: -0.10352977365255355835
FE575597    // 189: -0.10367814078927040100
FE57FE5A    // 190: -0.10351719707250595093
FE570036    // 191: -0.10375956445932388306
FE531A36    // 192: -0.10471133142709732056
FE4CD96B    // 193: -0.10623796656727790833
FE45A05A    // 194: -0.10800137370824813843
FE3E60D5    // 195: -0.10977093502879142761
FE36EB61    // 196: -0.11159193143248558044
FE2E3F7A    // 197: -0.11370899528264999390
FE238888    // 198: -0.11632487177848815918
FE170F77    // 199: -0.11937001720070838928
FE0A6376    // 200: -0.12246374040842056274
FDFFAEFD    // 201: -0.12507725879549980164
FDF8A3B2    // 202: -0.12679701298475265503
FDF5A484    // 203: -0.12752865254878997803
FDF5A940    // 204: -0.12752413749694824219
FDF6C8B2    // 205: -0.12725000828504562378
FDF70C95    // 206: -0.12718526646494865417
FDF51469    // 207: -0.12766608223319053650
FDF05A30    // 208: -0.12882024049758911133
FDE929C3    // 209: -0.13057540729641914368
FDE08035    // 210: -0.13269023224711418152
FDD7E96B    // 211: -0.13478716090321540833
FDD14C1A    // 212: -0.13640203326940536499
FDCE7EE3    // 213: -0.13708602264523506165
FDD0B23D    // 214: -0.13654876872897148132
FDD7EDB0    // 215: -0.13478308916091918945
FDE2EF46    // 216: -0.13209602981805801392
FDEF9B41    // 217: -0.12900232896208763123
FDFBC6F8    // 218: -0.12603095173835754395
FE05FACA    // 219: -0.12354012578725814819
FE0DC425    // 220: -0.12163911387324333191
FE138510    // 221: -0.12023442983627319336
FE1803D4    // 222: -0.11913697421550750732
FE1C1525    // 223: -0.11814389750361442566
FE20A502    // 224: -0.11703013628721237183
FE26E567    // 225: -0.11550388112664222717
FE304A76    // 226: -0.11321023851633071899
FE3E125C    // 227: -0.10984577238559722900
FE5075F7    // 228: -0.10535624995827674866
FE660A47    // 229: -0.10008785501122474670
FE7BE387    // 230: -0.09475371614098548889
FE8E9C16    // 231: -0.09018317610025405884
FE9BCE9B    // 232: -0.08696116879582405090
FEA340F2    // 233: -0.08514314144849777222
FEA6FA9F    // 234: -0.08423364534974098206
FEAA4343    // 235: -0.08343194797635078430
FEAFFC3C    // 236: -0.08203484117984771729
FEB945E1    // 237: -0.07976734265685081482
FEC52269    // 238: -0.07687148079276084900
FED1211E    // 239: -0.07394302636384963989
FEDAA98C    // 240: -0.07161565124988555908
FEE029F4    // 241: -0.07027249038219451904
FEE198D5    // 242: -0.06992260739207267761
FEE037CD    // 243: -0.07025928422808647156
FEDDD9EF    // 244: -0.07083708420395851135
FEDC2581    // 245: -0.07125329598784446716
FEDC1298    // 246: -0.07127133011817932129
FEDDDF7E    // 247: -0.07083178311586380005
FEE13B45    // 248: -0.07001183554530143738
FEE5A9FA    // 249: -0.06892969459295272827
FEEACE15    // 250: -0.06767455860972404480
FEF07F4F    // 251: -0.06628483906388282776
FEF6AAB7    // 252: -0.06477859988808631897
FEFD0095    // 253: -0.06323186680674552917
FF02AF92    // 254: -0.06184428185224533081
FF0670A6    // 255: -0.06092772632837295532
FF06F3A9    // 256: -0.06080278381705284119
FF038F63    // 257: -0.06163083389401435852
FEFCD2E1    // 258: -0.06327545270323753357
FEF49031    // 259: -0.06529217585921287537
FEED47B8    // 260: -0.06707027554512023926
