FC06315B    // 145: -0.24848808720707893372
FBE61031    // 146: -0.25633221492171287537
FBD3D3BC    // 147: -0.26078440248966217041
FBCC1BCF    // 148: -0.26266879215836524963
FBC83299    // 149: -0.26362362131476402283
FBC3D52F    // 150: -0.26468927040696144104
FBC09EB1    // 151: -0.26547366008162498474
FBC57840    // 152: -0.26428961753845214844
FBDB2D28    // 153: -0.25899013876914978027
FC0876BC    // 154: -0.24793364107608795166
FC4F5508    // 155: -0.23063179850578308105
FCAC3AD3    // 156: -0.20795171335339546204
FD16AB3C    // 157: -0.18196560442447662354
FD82CAE0    // 158: -0.15556824207305908203
FDE3D385    // 159: -0.13187835738062858582
FE2F3834    // 160: -0.11347179114818572998
FE5FCFAA    // 161: -0.10160859674215316772
FE77981B    // 162: -0.09580220654606819153
FE7EE104    // 163: -0.09402368962764739990
FE80B372    // 164: -0.09357886761426925659
FE860B08    // 165: -0.09227463603019714355
FE924BEF    // 166: -0.08928305283188819885
FEA2D8BB    // 167: -0.08524252846837043762
FEB1E2FA    // 168: -0.08157064765691757202
FEBA996D    // 169: -0.07944352552294731140
FEBC1ACC    // 170: -0.07907600700855255127
FEB98B40    // 171: -0.07970118522644042969
FEB785A6    // 172: -0.08019480854272842407
FEB8E5B5    // 173: -0.07985905930399894714
FEBD1107    // 174: -0.07884118333458900452
FEC0CE7D    // 175: -0.07792807742953300476
FEC0D32A    // 176: -0.07792361825704574585
FEBC2FA9    // 177: -0.07905611023306846619
FEB4EA56    // 178: -0.08083120733499526978
FEAE83F5    // 179: -0.08239368721842765808
FEAB81F0    // 180: -0.08312803506851196289
FEABCDB7    // 181: -0.08305576816201210022
FEACED27    // 182: -0.08278164640069007874
FEABE8A7    // 183: -0.08303007856011390686
FEA773B1    // 184: -0.08411818370223045349
FEA0E21F    // 185: -0.08572185412049293518
FE9B4035    // 186: -0.08709697052836418152
FE992A90    // 187: -0.08760589361190795898
FE9ACEDE    // 188: -0.08720505982637405396
FE9D7173    // 189: -0.08656172826886177063
FE9CBC35    // 190: -0.08673457428812980652
FE952BF3    // 191: -0.08858113363385200500
FE861E54    // 192: -0.09225623309612274170
FE72610E    // 193: -0.09707541018724441528
FE5EEC33    // 194: -0.10182552412152290344
FE50918B    // 195: -0.10532994940876960754
FE49D956    // 196: -0.10697046667337417603
FE4A1B59    // 197: -0.10690751299262046814
FE4E26E3    // 198: -0.10591994598507881165
FE51EC69    // 199: -0.10499915108084678650
FE52392F    // 200: -0.10492593422532081604
FE4DBC29    // 201: -0.10602172836661338806
FE4502FF    // 202: -0.10815143957734107971
FE39B305    // 203: -0.11091325804591178894
FE2D9942    // 204: -0.11386751383543014526
FE21FCF9    // 205: -0.11670210584998130798
FE1771AA    // 206: -0.11927636712789535522
FE0E0ABC    // 207: -0.12157179415225982666
FE05B6DA    // 208: -0.12360491603612899780
FDFE8C0B    // 209: -0.12535472586750984192
FDF8E9ED    // 210: -0.12673003599047660828
FDF56D00    // 211: -0.12758159637451171875
FDF4A979    // 212: -0.12776806578040122986
FDF6D240    // 213: -0.12724089622497558594
FDFB6707    // 214: -0.12612244859337806702
FE011B7E    // 215: -0.12472964078187942505
FE061C53    // 216: -0.12350814417004585266
FE08B2BD    // 217: -0.12287641689181327820
FE080615    // 218: -0.12304107472300529480
FE04A533    // 219: -0.12386589124798774719
FE00883E    // 220: -0.12487006932497024536
FDFE76F7    // 221: -0.12537482753396034241
FE011296    // 222: -0.12473813444375991821
FE09DB68    // 223: -0.12259349226951599121
FE189F03    // 224: -0.11898897960782051086
FE2B7EAF    // 225: -0.11438113823533058167
FE3F880B    // 226: -0.10948939993977546692
FE51A838    // 227: -0.10506418347358703613
FE5FA916    // 228: -0.10164538770914077759
FE68E920    // 229: -0.09938704967498779297
FE6E89E2    // 230: -0.09801303595304489136
FE72FE68    // 231: -0.09692534804344177246
FE7916F5    // 232: -0.09543709084391593933
FE82E54C    // 233: -0.09304304420948028564
FE90F422    // 234: -0.08961092680692672729
FEA22C54    // 235: -0.08540694415569305420
FEB477FD    // 236: -0.08094025775790214539
FEC5BDDD    // 237: -0.07672322914004325867
FED4AABD    // 238: -0.07307935878634452820
FEE0D681    // 239: -0.07010793313384056091
FEEA4F42    // 240: -0.06779550760984420776
FEF0FC55    // 241: -0.06616560742259025574
FEF4761F    // 242: -0.06531703844666481018
FEF47FE4    // 243: -0.06530772149562835693
FEF1D4BF    // 244: -0.06595921888947486877
FEEE9A33    // 245: -0.06674747541546821594
FEEDDBB8    // 246: -0.06692913174629211426
FEF22065    // 247: -0.06588707491755485535
FEFBE9ED    // 248: -0.06349761411547660828
