FB795ECE    // 144: -0.28286857157945632935
FB62A86D    // 145: -0.28841359540820121765
FB4CD054    // 146: -0.29374663531780242920
FB3C3C88    // 147: -0.29779383540153503418
FB321488    // 148: -0.30027338862419128418
FB2C7501    // 149: -0.30164622887969017029
FB28DA08    // 150: -0.30252644419670104980
FB268C01    // 151: -0.30308913812041282654
FB27826B    // 152: -0.30285413935780525208
FB2FA0B3    // 153: -0.30087213590741157532
FB435D2E    // 154: -0.29605371505022048950
FB66CFF7    // 155: -0.28739932551980018616
FB9D4071    // 156: -0.27410846576094627380
FBE8A16C    // 157: -0.25570543110370635986
FC4859AE    // 158: -0.23233634978532791138
FCB7AA8D    // 159: -0.20515961572527885437
FD2CE5A2    // 160: -0.17653881758451461792
FD9AAC58    // 161: -0.14973798394203186035
FDF37B35    // 162: -0.12805632874369621277
FE2E4312    // 163: -0.11370556801557540894
FE49D827    // 164: -0.10697159543633460999
FE4D5889    // 165: -0.10611673817038536072
FE452FEE    // 166: -0.10810858756303787231
FE3E128D    // 167: -0.10984558984637260437
FE406E3F    // 168: -0.10926986113190650940
FE4E3C5D    // 169: -0.10589946433901786804
FE63D5BA    // 170: -0.10062625259160995483
FE7AD2DA    // 171: -0.09501376003026962280
FE8D2EE6    // 172: -0.09053144603967666626
FE974940    // 173: -0.08806490898132324219
FE985697    // 174: -0.08780804648995399475
FE91BFE9    // 175: -0.08941658958792686462
FE8643A5    // 176: -0.09222064539790153503
FE794DFF    // 177: -0.09538460150361061096
FE6E655B    // 178: -0.09804787114262580872
FE686C5C    // 179: -0.09950603544712066650
FE6899F6    // 180: -0.09946254640817642212
FE6DBD1C    // 181: -0.09820832312107086182
FE745EAB    // 182: -0.09658940508961677551
FE781234    // 183: -0.09568576514720916748
FE757E50    // 184: -0.09631508588790893555
FE6BFB68    // 185: -0.09863719344139099121
FE5DDB85    // 186: -0.10208557173609733582
FE4F1693    // 187: -0.10569136217236518860
FE432AE6    // 188: -0.10860166698694229126
