FB802146    // 144: -0.28121826797723770142
FB61E5AB    // 145: -0.28859933093190193176
FB46BBF7    // 146: -0.29523089900612831116
FB3688F6    // 147: -0.29918579012155532837
FB33EBAC    // 148: -0.29982407391071319580
FB3B675A    // 149: -0.29799713939428329468
FB46A3F9    // 150: -0.29525377973914146423
FB50FB28    // 151: -0.29272922873497009277
FB5A6CE6    // 152: -0.29042349010705947876
FB67CFD2    // 153: -0.28715532273054122925
FB80B425    // 154: -0.28107820078730583191
FBAC608E    // 155: -0.27041573077440261841
FBEF2BEB    // 156: -0.25410850718617439270
FC48E51B    // 157: -0.23220338299870491028
FCB4671D    // 158: -0.20595635101199150085
FD285531    // 159: -0.17765313014388084412
FD98F52F    // 160: -0.15015679970383644104
FDFAED67    // 161: -0.12623843923211097717
FE462767    // 162: -0.10787257924675941467
FE77D8B3    // 163: -0.09574060514569282532
FE92D27A    // 164: -0.08915474265813827515
FE9DE08D    // 165: -0.08645577356219291687
FEA0F94E    // 166: -0.08569974452257156372
FEA27CC2    // 167: -0.08533024042844772339
FEA5AAC7    // 168: -0.08455393090844154358
FEAAC28C    // 169: -0.08331055939197540283
FEB0523E    // 170: -0.08195281773805618286
FEB4CB80    // 171: -0.08086061477661132812
FEB787DB    // 172: -0.08019270375370979309
FEB8DBEA    // 173: -0.07986839860677719116
FEB9907A    // 174: -0.07969620078802108765
FEBA305E    // 175: -0.07954371720552444458
FEBAA7B1    // 176: -0.07942992076277732849
FEBA5D3D    // 177: -0.07950092479586601257
FEB8959D    // 178: -0.07993544265627861023
FEB4E876    // 179: -0.08083299547433853149
FEAF7858    // 180: -0.08216062188148498535
FEA8ECB2    // 181: -0.08375864475965499878
FEA226B7    // 182: -0.08541229739785194397
FE9BF058    // 183: -0.08692899346351623535
FE96B75B    // 184: -0.08820404484868049622
FE92826E    // 185: -0.08923108130693435669
FE8F1475    // 186: -0.09006838127970695496
FE8C20AE    // 187: -0.09078914672136306763
FE896A33    // 188: -0.09145145490765571594
FE86B23E    // 189: -0.09211517125368118286
FE838B6E    // 190: -0.09288460761308670044
FE7F3437    // 191: -0.09394434466958045959
FE78B80B    // 192: -0.09552760794758796692
FE6F5A52    // 193: -0.09781425446271896362
FE63310F    // 194: -0.10078329220414161682
FE557AA3    // 195: -0.10413109138607978821
FE487751    // 196: -0.10730808600783348083
FE3E9D16    // 197: -0.10971347242593765259
FE397496    // 198: -0.11097279936075210571
FE38B064    // 199: -0.11115990579128265381
FE3A00C7    // 200: -0.11083910241723060608
FE39DF0D    // 201: -0.11087126657366752625
FE350CAC    // 202: -0.11204846203327178955
FE2A1114    // 203: -0.11472980678081512451
FE19F8EB    // 204: -0.11865909770131111145
FE07F105    // 205: -0.12306116148829460144
FDF7ECB5    // 206: -0.12697152420878410339
FDED008A    // 207: -0.12963815778493881226
FDE851F0    // 208: -0.13078123331069946289
FDE8FE98    // 209: -0.13061657547950744629
FDECF1A1    // 210: -0.12965237721800804138
FDF20491    // 211: -0.12841361388564109802
FDF6BB6B    // 212: -0.12726267054677009583
FDFA5638    // 213: -0.12638261914253234863
FDFC658B    // 214: -0.12587972357869148254
FDFC6678    // 215: -0.12587884068489074707
FDF9D6A7    // 216: -0.12650427594780921936
FDF4BEC0    // 217: -0.12774777412414550781
FDEE2F87    // 218: -0.12934920564293861389
FDE8519B    // 219: -0.13078154996037483215
FDE5B939    // 220: -0.13141515478491783142
FDE85F87    // 221: -0.13076827302575111389
FDF0CDDB    // 222: -0.12870993092656135559
FDFDF4FF    // 223: -0.12549877539277076721
FE0DB252    // 224: -0.12165611237287521362
FE1DAF69    // 225: -0.11775263771414756775
FE2C0DC6    // 226: -0.11424467712640762329
FE37BE81    // 227: -0.11139058694243431091
FE40841E    // 228: -0.10924900323152542114
FE46F03D    // 229: -0.10768104717135429382
FE4C5E3F    // 230: -0.10635543242096900940
FE52D3FF    // 231: -0.10477829352021217346
FE5C769A    // 232: -0.10242595523595809937
FE6AA73D    // 233: -0.09896160289645195007
FE7D2120    // 234: -0.09445083141326904297
FE91BFCE    // 235: -0.08941669017076492310
FEA53BC5    // 236: -0.08465979620814323425
FEB4A6E7    // 237: -0.08089551702141761780
FEBEE21B    // 238: -0.07839765027165412903
FEC51E7C    // 239: -0.07687522470951080322
FECA194B    // 240: -0.07565947249531745911
FED07EEB    // 241: -0.07409771159291267395
FED9667B    // 242: -0.07192375138401985168
FEE3DEAB    // 243: -0.06936772540211677551
FEEDBB02    // 244: -0.06696032732725143433
FEF51E15    // 245: -0.06515685841441154480
FEF9B1A3    // 246: -0.06403957679867744446
FEFCCDDF    // 247: -0.06328022852540016174
FF0083E4    // 248: -0.06237421929836273193
FF062648    // 249: -0.06099864840507507324
FF0D582A    // 250: -0.05924209207296371460
FF1427FC    // 251: -0.05757905542850494385
FF182F1E    // 252: -0.05659569054841995239
FF180120    // 253: -0.05663955211639404297
FF140EC4    // 254: -0.05760310590267181396
FF0E79DA    // 255: -0.05896582454442977905
FF0A0314    // 256: -0.06005565822124481201
FF08AB85    // 257: -0.06038330122828483582
FF0ACFB5    // 258: -0.05986050888895988464
FF0F3B75    // 259: -0.05878118798136711121
FF14080B    // 260: -0.05760951712727546692
