FBCE119D    // 145: -0.26219023391604423523
FBBC0412    // 146: -0.26659768074750900269
FBADAECA    // 147: -0.27009698003530502319
FBA4A32C    // 148: -0.27230532467365264893
FB9F7085    // 149: -0.27357433363795280457
FB9C0090    // 150: -0.27441352605819702148
FB9A3079    // 151: -0.27485611662268638611
FB9D16EB    // 152: -0.27414806559681892395
FBAA98F8    // 153: -0.27085021138191223145
FBC9AC53    // 154: -0.26326339319348335266
FBFFF398    // 155: -0.25001183152198791504
FC4F532D    // 156: -0.23063356801867485046
FCB44033    // 157: -0.20599346235394477844
FD257458    // 158: -0.17835584282875061035
FD959DAF    // 159: -0.15097266808152198792
FDF6E474    // 160: -0.12722353637218475342
FE3F1510    // 161: -0.10959905385971069336
FE6AC155    // 162: -0.09893671795725822449
FE7DE3F2    // 163: -0.09426503628492355347
FE81A9CD    // 164: -0.09334392473101615906
FE808A80    // 165: -0.09361791610717773438
FE8276F6    // 166: -0.09314826875925064087
FE8AD6C5    // 167: -0.09110377356410026550
FE98B900    // 168: -0.08771419525146484375
FEA89F06    // 169: -0.08383271843194961548
FEB69918    // 170: -0.08042040467262268066
FEBFBC66    // 171: -0.07818946987390518188
FEC2AC66    // 172: -0.07747230678796768188
FEBF9A0E    // 173: -0.07822222262620925903
FEB80E7D    // 174: -0.08006430789828300476
FEAEA9AB    // 175: -0.08235772326588630676
FEA69140    // 176: -0.08433413505554199219
FEA280DF    // 177: -0.08532631769776344299
FEA3B1D7    // 178: -0.08503547683358192444
FEA93331    // 179: -0.08369141444563865662
FEB031C2    // 180: -0.08198379725217819214
FEB5338C    // 181: -0.08076138794422149658
FEB5A156    // 182: -0.08065668493509292603
FEB0D1FA    // 183: -0.08183100074529647827
FEA80E86    // 184: -0.08397052437067031860
FE9DA26C    // 185: -0.08651502430438995361
FE93A722    // 186: -0.08895193785429000854
FE8B3F67    // 187: -0.09100398793816566467
FE84928A    // 188: -0.09263368695974349976
FE7F4BEE    // 189: -0.09392172843217849731
FE7B22CA    // 190: -0.09493752568960189819
FE77FE14    // 191: -0.09570495784282684326
FE75B422    // 192: -0.09626375883817672729
FE73B608    // 193: -0.09675022959709167480
FE71007A    // 194: -0.09741165488958358765
FE6C6755    // 195: -0.09853426739573478699
FE651EE2    // 196: -0.10031234472990036011
FE5B2399    // 197: -0.10274925455451011658
FE4F4E63    // 198: -0.10563813522458076477
FE4315C9    // 199: -0.10862180218100547791
FE381E58    // 200: -0.11129918694496154785
FE2FC31E    // 201: -0.11333931237459182739
FE2AC139    // 202: -0.11456182226538658142
FE290049    // 203: -0.11498996242880821228
FE298B32    // 204: -0.11485748738050460815
FE2AC3D7    // 205: -0.11455932632088661194
FE2ACBA6    // 206: -0.11455187946557998657
FE280FF7    // 207: -0.11521914973855018616
FE21C401    // 208: -0.11675643548369407654
FE181FE2    // 209: -0.11911021918058395386
FE0C4F55    // 210: -0.12199465557932853699
FE001EE7    // 211: -0.12497052922844886780
FDF58F5C    // 212: -0.12754882872104644775
FDEE6873    // 213: -0.12929492071270942688
FDEBD4DA    // 214: -0.12992396205663681030
FDEE0199    // 215: -0.12939300760626792908
FDF3ED1F    // 216: -0.12794769182801246643
FDFB7F40    // 217: -0.12609934806823730469
FE021C86    // 218: -0.12448451668024063110
FE05A0D7    // 219: -0.12362590804696083069
FE0555C0    // 220: -0.12369751930236816406
FE025FA9    // 221: -0.12442049011588096619
FDFF54B7    // 222: -0.12516335025429725647
FDFF1211    // 223: -0.12522691115736961365
FE036E43    // 224: -0.12416242435574531555
FE0C8752    // 225: -0.12194126099348068237
FE1907BE    // 226: -0.11888910084962844849
FE273352    // 227: -0.11542957276105880737
FE35F74F    // 228: -0.11182469502091407776
FE455A68    // 229: -0.10806807875633239746
FE55FB83    // 230: -0.10400818660855293274
FE68163C    // 231: -0.09958817064762115479
FE7AC95F    // 232: -0.09502280130982398987
FE8C3C0A    // 233: -0.09076305478811264038
FE9A94C6    // 234: -0.08726046234369277954
FEA52560    // 235: -0.08468115329742431641
FEACFC47    // 236: -0.08276722207665443420
FEB4746C    // 237: -0.08094365894794464111
FEBDF1D2    // 238: -0.07862680405378341675
FECA946D    // 239: -0.07554204389452934265
FED99B63    // 240: -0.07187329605221748352
FEE8D2BF    // 241: -0.06815839186310768127
FEF5B822    // 242: -0.06500994414091110229
FEFEB9DA    // 243: -0.06281103938817977905
FF03D343    // 244: -0.06156610324978828430
FF066B76    // 245: -0.06093267351388931274
FF088B80    // 246: -0.06041383743286132812
FF0BFD16    // 247: -0.05957309156656265259
FF11B468    // 248: -0.05817756056785583496
FF19ABED    // 249: -0.05623252317309379578
FF23226D    // 250: -0.05392224714159965515
FF2CF82C    // 251: -0.05152113735675811768
FF3609C2    // 252: -0.04930710047483444214
FF3D67C2    // 253: -0.04750847071409225464
FF427AFA    // 254: -0.04626943916082382202
FF4516B9    // 255: -0.04563262686133384705
FF45886E    // 256: -0.04552418738603591919
FF448D74    // 257: -0.04576353728771209717
FF433550    // 258: -0.04609173536300659180
FF42A816    // 259: -0.04622641950845718384
