FBFA9080    // 144: -0.25132703781127929688
FBCDC543    // 145: -0.26226304844021797180
FBA7BA2E    // 146: -0.27155096083879470825
FB8EE773    // 147: -0.27761130407452583313
FB846E60    // 148: -0.28016817569732666016
FB84EF69    // 149: -0.28004511818289756775
FB8BFDBA    // 150: -0.27832248061895370483
FB97D5EC    // 151: -0.27543075382709503174
FBAB260A    // 152: -0.27071567624807357788
FBCBF555    // 153: -0.26270548626780509949
FC006512    // 154: -0.24990361183881759644
FC4AECBF    // 155: -0.23170781508088111877
FCA7FD3E    // 156: -0.20898700505495071411
FD0E18E9    // 157: -0.18405827507376670837
FD706097    // 158: -0.16006413474678993225
FDC2875D    // 159: -0.14000762626528739929
FDFCA27E    // 160: -0.12582159787416458130
FE1D5831    // 161: -0.11783581599593162537
FE29A99A    // 162: -0.11482848972082138062
FE2A7907    // 163: -0.11463067308068275452
FE28E2F4    // 164: -0.11501793563365936279
FE2AF7C0    // 165: -0.11450982093811035156
FE3231C4    // 166: -0.11274550855159759521
FE3C26F8    // 167: -0.11031439900398254395
FE44E4CE    // 168: -0.10818023234605789185
FE498BBB    // 169: -0.10704447701573371887
FE49D048    // 170: -0.10697910189628601074
FE47B774    // 171: -0.10749106109142303467
FE4603C8    // 172: -0.10790655016899108887
FE468081    // 173: -0.10778760537505149841
FE4936A4    // 174: -0.10712562501430511475
FE4CE840    // 175: -0.10622382164001464844
FE50382E    // 176: -0.10541517287492752075
FE527C1C    // 177: -0.10486210882663726807
FE53AA81    // 178: -0.10457372292876243591
FE5392E7    // 179: -0.10459623113274574280
FE513F1B    // 180: -0.10516442731022834778
FE4B32AE    // 181: -0.10664112120866775513
FE40939A    // 182: -0.10923423618078231812
FE325FAC    // 183: -0.11270172894001007080
FE23A562    // 184: -0.11629735678434371948
FE184664    // 185: -0.11907349526882171631
FE12DC90    // 186: -0.12039512395858764648
FE131AE6    // 187: -0.12033567577600479126
FE15D359    // 188: -0.11967149004340171814
FE16D2D0    // 189: -0.11942785978317260742
FE136122    // 190: -0.12026869505643844604
FE0BD29D    // 191: -0.12211359664797782898
FE030D32    // 192: -0.12425499409437179565
FDFC4DF9    // 193: -0.12590220198035240173
FDF8AE6A    // 194: -0.12678679078817367554
FDF622DB    // 195: -0.12740816548466682434
