FD8A7659  // -0.153696
FD930E8D  // -0.151597
FD9E0CEF  // -0.148913
FDA86317  // -0.14639
FDAF9B7D  // -0.144627
FDB2AC24  // -0.143879
FDB24A1B  // -0.143972
FDB0B8BB  // -0.144355
FDB116B1  // -0.144265
FDB64876  // -0.142997
FDC1D328  // -0.140179
FDD31FC0  // -0.135956
FDE78971  // -0.130972
FDFB5986  // -0.126135
FE0B4FD7  // -0.122238
FE1604F0  // -0.119624
FE1C67F3  // -0.118065
FE212453  // -0.116909
FE2735B2  // -0.115427
FE307DD9  // -0.113161
FE3D1159  // -0.110091
FE4B974E  // -0.106545
FE5A535C  // -0.102948
FE6831F8  // -0.0995617
FE753086  // -0.0963893
FE81F2CF  // -0.0932743
FE8EE556  // -0.0901133
FE9B9D05  // -0.0870085
FEA6E05E  // -0.0842587
FEAF57F5  // -0.0821915
FEB4843A  // -0.0809286
FEB736C3  // -0.08027
FEB95A38  // -0.0797479
FEBD104E  // -0.0788419
FEC3B0E9  // -0.0772239
FECD2DEC  // -0.0749074
FED834B4  // -0.0722154
FEE2CFC5  // -0.0696261
FEEB36A0  // -0.0675749
FEF0562E  // -0.0663241
FEF1E76F  // -0.0659414
FEF0485E  // -0.0663372
FEEC41D5  // -0.06732

