FDFC6678  // -0.125879
FDF9D6A7  // -0.126504
FDF4BEC0  // -0.127748
FDEE2F87  // -0.129349
FDE8519B  // -0.130782
FDE5B939  // -0.131415
FDE85F87  // -0.130768
FDF0CDDB  // -0.12871
FDFDF4FF  // -0.125499
FE0DB252  // -0.121656
FE1DAF69  // -0.117753
FE2C0DC6  // -0.114245
FE37BE81  // -0.111391
FE40841E  // -0.109249
FE46F03D  // -0.107681
FE4C5E3F  // -0.106355
FE52D3FF  // -0.104778
FE5C769A  // -0.102426
FE6AA73D  // -0.0989616
FE7D2120  // -0.0944508
FE91BFCE  // -0.0894167
FEA53BC5  // -0.0846598
FEB4A6E7  // -0.0808955
FEBEE21B  // -0.0783977
FEC51E7C  // -0.0768752
FECA194B  // -0.0756595
FED07EEB  // -0.0740977
FED9667B  // -0.0719238
FEE3DEAB  // -0.0693677
FEEDBB02  // -0.0669603
FEF51E15  // -0.0651569
FEF9B1A3  // -0.0640396
FEFCCDDF  // -0.0632802
FF0083E4  // -0.0623742
FF062648  // -0.0609986
FF0D582A  // -0.0592421
FF1427FC  // -0.0575791
FF182F1E  // -0.0565957
FF180120  // -0.0566396
FF140EC4  // -0.0576031
FF0E79DA  // -0.0589658
FF0A0314  // -0.0600557
FF08AB85  // -0.0603833
FF0ACFB5  // -0.0598605
FF0F3B75  // -0.0587812
FF14080B  // -0.0576095

