075E48CA  // 0.460519
0760BB35  // 0.461116
0768D3FE  // 0.463093
0775B6BE  // 0.466239
0784D2A8  // 0.469927
0792C293  // 0.47333
079C5CEC  // 0.475675
079F87A3  // 0.476448
079B9C51  // 0.475491
0791654E  // 0.472997
0782FC6B  // 0.469479
077380B7  // 0.465699
076692C4  // 0.462542
075F7F95  // 0.460815
0760254E  // 0.460973

