07680FC1  // 0.462906
0767E7ED  // 0.462868
076BB2AC  // 0.463793
0772C58A  // 0.46552
077C1B78  // 0.4678
0786EF75  // 0.470443
0792ECAE  // 0.47337
079FEB3C  // 0.476543
07AD4339  // 0.4798
07B93BBA  // 0.482723
07C123F5  // 0.484653
07C237E5  // 0.484917
07BB1322  // 0.483173
07ACE2F6  // 0.479709
079B7CFE  // 0.475461
078C2607  // 0.471716

