077A9BAC  // 0.467434
0774605F  // 0.465912
076CD631  // 0.464071
076B1961  // 0.463647
07751107  // 0.466081
078BEC05  // 0.471661
07AA9715  // 0.479148
07C78386  // 0.486209
07D9232C  // 0.490512
07DA857D  // 0.49085
07CD9754  // 0.487693
07B9C4C5  // 0.482854
07A81796  // 0.478538
079F27F2  // 0.476356
07A10E3F  // 0.47682
07ABF899  // 0.479485
07BC41B7  // 0.483461
07CE51A0  // 0.487871

