077AD0FF  // 0.467484
078D4205  // 0.471987
07A2F0C0  // 0.47728
07B75CB7  // 0.482266
07C6A92D  // 0.486001
07D0237E  // 0.488315
07D69483  // 0.489888
07DE4406  // 0.491764
07E9EF3F  // 0.494613
07F8D5D4  // 0.498251
0806F152  // 0.501695
080F48D2  // 0.503732
080EE992  // 0.503641
0806BD17  // 0.501645
07FB2DC7  // 0.498823
07F1EF11  // 0.496566
07EF278D  // 0.495887
07F396DC  // 0.49697
07FCBEBD  // 0.499205
0806AF2B  // 0.501632

