FD978354  // -0.15051
FD8FF7DA  // -0.152352
FD911B79  // -0.152073
FD9A43FF  // -0.149837
FDA8FE7A  // -0.146242
FDBA3AFE  // -0.142034
FDCBAA9B  // -0.137777
FDDC8C06  // -0.133656
FDED8A9E  // -0.129506
FDFFE2F2  // -0.125028
FE145433  // -0.120037
FE2A8BF8  // -0.114613
FE414DEE  // -0.109057
FE572999  // -0.10372
FE6B40BC  // -0.0988152
FE7D9DF7  // -0.0943318
FE8EE710  // -0.0901117
FE9FB324  // -0.0860108
FEAFE2FF  // -0.0820589
FEBE7D3D  // -0.0784938
FECA1854  // -0.0756604
FED1ADC4  // -0.0738089
FED554D0  // -0.0729172
FED685B8  // -0.0726264
FED7B63F  // -0.072336
FEDB67BD  // -0.0714343
FEE318DD  // -0.0695564
FEEE8FA5  // -0.0667575
FEFBD59E  // -0.063517
FF07F7C9  // -0.0605547
FF1031AF  // -0.0585464
FF131B04  // -0.0578356
FF1134AA  // -0.0582994
FF0CADD5  // -0.0594045
FF0875DC  // -0.0604345
FF070B4F  // -0.0607802
FF09A5BF  // -0.0601447
FF100145  // -0.0585925
FF18D535  // -0.0564373
FF2292DB  // -0.0540592
FF2BF68E  // -0.0517668
FF3428AB  // -0.0497659
FF3A7D58  // -0.0482203
FF3E2ECB  // -0.0473187
FF3E69BC  // -0.0472624
FF3AC180  // -0.0481553
FF33C36C  // -0.0498625
FF2B3E95  // -0.0519423
FF23E567  // -0.0537363

