FEE00000    // 0: -0.07031250000000000000
FEE80000    // 1: -0.06835937500000000000
FEF00000    // 2: -0.06640625000000000000
FEEC0000    // 3: -0.06738281250000000000
FEF00000    // 4: -0.06640625000000000000
FEFC0000    // 5: -0.06347656250000000000
FEF00000    // 6: -0.06640625000000000000
FEF00000    // 7: -0.06640625000000000000
FEEC0000    // 8: -0.06738281250000000000
FEF00000    // 9: -0.06640625000000000000
FF080000    // 10: -0.06054687500000000000
FF140000    // 11: -0.05761718750000000000
FF100000    // 12: -0.05859375000000000000
FF240000    // 13: -0.05371093750000000000
FF1C0000    // 14: -0.05566406250000000000
FF140000    // 15: -0.05761718750000000000
FF0C0000    // 16: -0.05957031250000000000
FF000000    // 17: -0.06250000000000000000
FF040000    // 18: -0.06152343750000000000
FF080000    // 19: -0.06054687500000000000
FF140000    // 20: -0.05761718750000000000
FF100000    // 21: -0.05859375000000000000
FF1C0000    // 22: -0.05566406250000000000
FF200000    // 23: -0.05468750000000000000
FF280000    // 24: -0.05273437500000000000
FF240000    // 25: -0.05371093750000000000
FF280000    // 26: -0.05273437500000000000
FF200000    // 27: -0.05468750000000000000
FF180000    // 28: -0.05664062500000000000
FF040000    // 29: -0.06152343750000000000
FEFC0000    // 30: -0.06347656250000000000
FF040000    // 31: -0.06152343750000000000
FF000000    // 32: -0.06250000000000000000
FF080000    // 33: -0.06054687500000000000
FF100000    // 34: -0.05859375000000000000
FF0C0000    // 35: -0.05957031250000000000
FF0C0000    // 36: -0.05957031250000000000
FF100000    // 37: -0.05859375000000000000
FF0C0000    // 38: -0.05957031250000000000
FF080000    // 39: -0.06054687500000000000
FEF80000    // 40: -0.06445312500000000000
FEF40000    // 41: -0.06542968750000000000
FEE40000    // 42: -0.06933593750000000000
FEDC0000    // 43: -0.07128906250000000000
FEE40000    // 44: -0.06933593750000000000
FEDC0000    // 45: -0.07128906250000000000
FEE00000    // 46: -0.07031250000000000000
FEE40000    // 47: -0.06933593750000000000
FEE40000    // 48: -0.06933593750000000000
FEF40000    // 49: -0.06542968750000000000
FF080000    // 50: -0.06054687500000000000
FF1C0000    // 51: -0.05566406250000000000
FF180000    // 52: -0.05664062500000000000
FF040000    // 53: -0.06152343750000000000
FEF40000    // 54: -0.06542968750000000000
FECC0000    // 55: -0.07519531250000000000
FEB40000    // 56: -0.08105468750000000000
FECC0000    // 57: -0.07519531250000000000
FEE80000    // 58: -0.06835937500000000000
FEF40000    // 59: -0.06542968750000000000
FF0C0000    // 60: -0.05957031250000000000
FEFC0000    // 61: -0.06347656250000000000
FEE80000    // 62: -0.06835937500000000000
FEC80000    // 63: -0.07617187500000000000
FEBC0000    // 64: -0.07910156250000000000
FEB80000    // 65: -0.08007812500000000000
FEBC0000    // 66: -0.07910156250000000000
FEB40000    // 67: -0.08105468750000000000
FEC00000    // 68: -0.07812500000000000000
FEBC0000    // 69: -0.07910156250000000000
FECC0000    // 70: -0.07519531250000000000
FED00000    // 71: -0.07421875000000000000
FEE40000    // 72: -0.06933593750000000000
FEE40000    // 73: -0.06933593750000000000
FEDC0000    // 74: -0.07128906250000000000
FEE00000    // 75: -0.07031250000000000000
FED40000    // 76: -0.07324218750000000000
FEC40000    // 77: -0.07714843750000000000
FED80000    // 78: -0.07226562500000000000
FED00000    // 79: -0.07421875000000000000
FED00000    // 80: -0.07421875000000000000
FEDC0000    // 81: -0.07128906250000000000
FEE40000    // 82: -0.06933593750000000000
FEF40000    // 83: -0.06542968750000000000
FEFC0000    // 84: -0.06347656250000000000
FF000000    // 85: -0.06250000000000000000
FEFC0000    // 86: -0.06347656250000000000
FEF40000    // 87: -0.06542968750000000000
FEF00000    // 88: -0.06640625000000000000
FEF00000    // 89: -0.06640625000000000000
FF000000    // 90: -0.06250000000000000000
FEF40000    // 91: -0.06542968750000000000
FF100000    // 92: -0.05859375000000000000
FF0C0000    // 93: -0.05957031250000000000
FF240000    // 94: -0.05371093750000000000
FF440000    // 95: -0.04589843750000000000
FF400000    // 96: -0.04687500000000000000
FF500000    // 97: -0.04296875000000000000
FF540000    // 98: -0.04199218750000000000
FF5C0000    // 99: -0.04003906250000000000
FF540000    // 100: -0.04199218750000000000
FF540000    // 101: -0.04199218750000000000
FF480000    // 102: -0.04492187500000000000
FF3C0000    // 103: -0.04785156250000000000
FF380000    // 104: -0.04882812500000000000
FF440000    // 105: -0.04589843750000000000
FF480000    // 106: -0.04492187500000000000
FF500000    // 107: -0.04296875000000000000
FF5C0000    // 108: -0.04003906250000000000
FF440000    // 109: -0.04589843750000000000
FF3C0000    // 110: -0.04785156250000000000
FF440000    // 111: -0.04589843750000000000
FF480000    // 112: -0.04492187500000000000
FF5C0000    // 113: -0.04003906250000000000
FF6C0000    // 114: -0.03613281250000000000
FF600000    // 115: -0.03906250000000000000
FF640000    // 116: -0.03808593750000000000
FF500000    // 117: -0.04296875000000000000
FF500000    // 118: -0.04296875000000000000
FF300000    // 119: -0.05078125000000000000
FF2C0000    // 120: -0.05175781250000000000
FF100000    // 121: -0.05859375000000000000
FEDC0000    // 122: -0.07128906250000000000
FEC80000    // 123: -0.07617187500000000000
FEC40000    // 124: -0.07714843750000000000
FEC00000    // 125: -0.07812500000000000000
FEB40000    // 126: -0.08105468750000000000
FEB80000    // 127: -0.08007812500000000000
FEBC0000    // 128: -0.07910156250000000000
FEBC0000    // 129: -0.07910156250000000000
FEB80000    // 130: -0.08007812500000000000
FEB00000    // 131: -0.08203125000000000000
FE980000    // 132: -0.08789062500000000000
FEA40000    // 133: -0.08496093750000000000
FEA80000    // 134: -0.08398437500000000000
FEA40000    // 135: -0.08496093750000000000
FE980000    // 136: -0.08789062500000000000
FE8C0000    // 137: -0.09082031250000000000
FE900000    // 138: -0.08984375000000000000
FE940000    // 139: -0.08886718750000000000
FEA00000    // 140: -0.08593750000000000000
FE980000    // 141: -0.08789062500000000000
FEAC0000    // 142: -0.08300781250000000000
FE9C0000    // 143: -0.08691406250000000000
FEA80000    // 144: -0.08398437500000000000
FEA00000    // 145: -0.08593750000000000000
FEA40000    // 146: -0.08496093750000000000
FE940000    // 147: -0.08886718750000000000
FE900000    // 148: -0.08984375000000000000
FE880000    // 149: -0.09179687500000000000
FE800000    // 150: -0.09375000000000000000
FE6C0000    // 151: -0.09863281250000000000
FE680000    // 152: -0.09960937500000000000
FE6C0000    // 153: -0.09863281250000000000
FE780000    // 154: -0.09570312500000000000
FE7C0000    // 155: -0.09472656250000000000
FE840000    // 156: -0.09277343750000000000
FE880000    // 157: -0.09179687500000000000
FE8C0000    // 158: -0.09082031250000000000
FE7C0000    // 159: -0.09472656250000000000
FE740000    // 160: -0.09667968750000000000
FE680000    // 161: -0.09960937500000000000
FE540000    // 162: -0.10449218750000000000
FE3C0000    // 163: -0.11035156250000000000
FE2C0000    // 164: -0.11425781250000000000
FE280000    // 165: -0.11523437500000000000
FE3C0000    // 166: -0.11035156250000000000
FE540000    // 167: -0.10449218750000000000
FE980000    // 168: -0.08789062500000000000
FEE40000    // 169: -0.06933593750000000000
FF480000    // 170: -0.04492187500000000000
FF980000    // 171: -0.02539062500000000000
FFC00000    // 172: -0.01562500000000000000
FFD00000    // 173: -0.01171875000000000000
FFD40000    // 174: -0.01074218750000000000
FFDC0000    // 175: -0.00878906250000000000
00140000    // 176: 0.00488281250000000000
00800000    // 177: 0.03125000000000000000
01180000    // 178: 0.06835937500000000000
01BC0000    // 179: 0.10839843750000000000
02400000    // 180: 0.14062500000000000000
02600000    // 181: 0.14843750000000000000
02340000    // 182: 0.13769531250000000000
019C0000    // 183: 0.10058593750000000000
00B00000    // 184: 0.04296875000000000000
FFA00000    // 185: -0.02343750000000000000
FE880000    // 186: -0.09179687500000000000
FDA80000    // 187: -0.14648437500000000000
FD0C0000    // 188: -0.18457031250000000000
FCAC0000    // 189: -0.20800781250000000000
FC740000    // 190: -0.22167968750000000000
FC5C0000    // 191: -0.22753906250000000000
FC3C0000    // 192: -0.23535156250000000000
FC140000    // 193: -0.24511718750000000000
FBD80000    // 194: -0.25976562500000000000
FBB40000    // 195: -0.26855468750000000000
FBA00000    // 196: -0.27343750000000000000
FB900000    // 197: -0.27734375000000000000
FB840000    // 198: -0.28027343750000000000
FB7C0000    // 199: -0.28222656250000000000
FB980000    // 200: -0.27539062500000000000
FB9C0000    // 201: -0.27441406250000000000
FBBC0000    // 202: -0.26660156250000000000
FBE40000    // 203: -0.25683593750000000000
FC240000    // 204: -0.24121093750000000000
FC740000    // 205: -0.22167968750000000000
FCDC0000    // 206: -0.19628906250000000000
