153A,088B,FF5F,F329,0DF2,F44B,026E,FB9E,00AD
01DA,022C,EF56,FFC0,EFD7,FF42,EC85,FB13,FD4C
FD0C,001B,11E2,054D,F219,026E,0D27,051C,0B0B
EB51,F29B,EDD3,04BA,0B25,0383,04BF,02D0,0C5E
051C,0A09,1748,0552,07BA,0954,05F8,F9F7,F368
