0706,1182,0CAF,0733,FF9A
FD8F,01C5,FD16,FE06,FD49
039A,0F87,16AD,0D15,02B3
01DF,010F,0257,FDA1,FDE6
FDB2,FBE9,FB4B,FE40,FEB8
