E7432BE0  // -1.5461
E661FE10  // -1.60108
C5FEBDE0  // -3.62531
08AB25AA  // 0.541784
E14BCC37  // -1.91899
10BEBA6E  // 1.04656
02393D5B  // 0.138975
0A1E9825  // 0.632469
08738D1F  // 0.528211
