FFEDE149  // -0.00442382
FF7EE22A  // -0.0315226
FF356FB0  // -0.049454
002A84F2  // 0.0103807
FFD09A76  // -0.0115714
FFF8EC95  // -0.0017275
FF7AB468  // -0.0325428
FFF773C2  // -0.00208687
00A41F5B  // 0.040069
