09733A7E  // 0.590632
FE8AD94B  // -0.0911014
FAD1659F  // -0.323878
F58710EB  // -0.654525
FB0240B5  // -0.31195
F71E5638  // -0.555094
FDFA0239  // -0.126463
01BD6BC9  // 0.108745
01582E00  // 0.0840282
