E680EF18  // -1.59352
E4F0CD00  // -1.69121
DA902B74  // -2.3398
14DB9E12  // 1.30362
DA31C203  // -2.36285
11E37247  // 1.11803
093BF5FC  // 0.577139
08939C26  // 0.536038
14C768CD  // 1.29868
