C172F661  // -3.90943
D7F28242  // -2.50329
3D38CCEF  // 3.82637
1812E6FA  // 1.50461
FC3D1087  // -0.235092
0A6FF33D  // 0.652332
42BC25DE  // 4.17093
029AC14C  // 0.162782
06D8851B  // 0.427861
