FFD756B5  // -0.00992708
000A42B2  // 0.00250501
FFAB5B5F  // -0.0206648
FFE906B7  // -0.00560883
FFE36F0C  // -0.00697418
FFE5F44F  // -0.00635881
000803BC  // 0.00195669
FFFB3852  // -0.00116699
002A0F7B  // 0.0102687
