0AB17298  // 0.668322
FE4D31A4  // -0.106154
FACBC1A8  // -0.325255
F4E357D2  // -0.694496
F9F8141D  // -0.376934
F6115331  // -0.62077
FDB88794  // -0.142449
01AA26EA  // 0.104041
01D77B4D  // 0.115108
