E4554599  // -1.72918
E2A4F0E5  // -1.83473
C44F86FC  // -3.73058
1137C877  // 1.07612
D7F16C54  // -2.50356
121441A9  // 1.12995
0335EFBD  // 0.200668
06F7009D  // 0.435303
0D616082  // 0.836274
