DA05  // -2.37378
DDF8  // -2.12695
C8ED  // -3.44214
E9D2  // -1.38623
EEDA  // -1.07178
F13B  // -0.923096
115F  // 1.08569
0B54  // 0.708008
3198  // 3.09961
