E49BDB1B  // -1.71195
E4BEBD32  // -1.70343
D1E3BBF2  // -2.8819
103E41DA  // 1.0152
DE70B899  // -2.09748
10F790BB  // 1.06044
08824940  // 0.531808
09B1F7E1  // 0.605949
11954F8A  // 1.09895
