F5F51720  // -0.627663
E7DCFE20  // -1.50855
CE41FF85  // -3.10889
0A373BF0  // 0.638485
D4711B2A  // -2.72239
02E3D029  // 0.180618
F3C76D62  // -0.763812
FD3CBFBA  // -0.172669
0140A471  // 0.0782818
