0020FDEB  // 0.00805466
FF933FFA  // -0.0265503
FF539157  // -0.0420977
00607DDB  // 0.0235575
FF91B89B  // -0.0269236
FFB4EACD  // -0.0183308
FF57859C  // -0.0411323
FFC17C6B  // -0.0152622
009D79FB  // 0.0384464
