DEF6  // -2.06494
E05A  // -1.97803
C9C1  // -3.39038
E832  // -1.48779
E8B3  // -1.4563
EEE9  // -1.06812
0AC5  // 0.673096
08DB  // 0.553467
303C  // 3.01465
