E1BF18E8  // -1.89085
E1763EA8  // -1.90863
D291FF55  // -2.83936
17F40E74  // 1.49708
D98A648D  // -2.40371
131EF6CE  // 1.19506
06A2C362  // 0.414737
06EBC47B  // 0.43256
1600AD10  // 1.37517
