1.50584  // 1.50584
1.50589  // 1.50589
1.44718  // 1.44718
1.36002  // 1.36002
1.28693  // 1.28693
0.938863  // 0.938863
0.958247  // 0.958247
0.910994  // 0.910994
1.18249  // 1.18249
1.69772  // 1.69772
1.63682  // 1.63682
1.59293  // 1.59293
1.51381  // 1.51381
1.53948  // 1.53948
0.47224  // 0.47224
0  // 0
3.25592  // 3.25592
5.36707  // 5.36707
4.98815  // 4.98815
3.02068  // 3.02068
1.95172  // 1.95172
1.78581  // 1.78581
1.73194  // 1.73194
2.05098  // 2.05098
2.24104  // 2.24104
2.49859  // 2.49859
2.56226  // 2.56226
2.45348  // 2.45348
2.12337  // 2.12337
1.6295  // 1.6295

0.454868  // 0.454868
0.458846  // 0.458846
0.47  // 0.47
0.413875  // 0.413875
0.435751  // 0.435751
0.351801  // 0.351801
0.251227  // 0.251227
0.252214  // 0.252214
0.245958  // 0.245958
0.398406  // 0.398406
0.522633  // 0.522633
0.465091  // 0.465091
0.441285  // 0.441285
0.540403  // 0.540403
1.60065  // 1.60065
1.65508  // 1.65508
0  // 0
1.36302  // 1.36302
1.72424  // 1.72424
1.36717  // 1.36717
0.694522  // 0.694522
0.577204  // 0.577204
0.510076  // 0.510076
0.526491  // 0.526491
0.595316  // 0.595316
0.673796  // 0.673796
0.779494  // 0.779494
0.78143  // 0.78143
0.781064  // 0.781064
0.591132  // 0.591132

