004B0372  // 0.0183138
005ACFED  // 0.0221709
00741F6D  // 0.0283503
00B15B62  // 0.0433
00B0B111  // 0.0431376
00474FDD  // 0.0174101
00293FC5  // 0.0100706
00203CC3  // 0.00787045
0019A781  // 0.00626326
001AC905  // 0.00653936
00146C09  // 0.00498584
001A794B  // 0.00646333
001C4F93  // 0.00691183
001839EC  // 0.00591461
001FA4A6  // 0.00772538
00276ED2  // 0.00962717
0022F7E5  // 0.00853719
0027EDC0  // 0.00974822
0033CDF6  // 0.0126476
002F04EA  // 0.0114793
00303179  // 0.0117659
00370311  // 0.0134307
00323160  // 0.0122541
0024A9DA  // 0.00895105
00284689  // 0.00983289
001B583D  // 0.00667595
00198C96  // 0.00623759
001BDAC3  // 0.00680042
00114902  // 0.00422002

FEA9294A  // -0.0837009
FECC2B09  // -0.0751543
FEF9B455  // -0.064037
FF050CC5  // -0.0612671
FF0DE851  // -0.0591046
FF294A12  // -0.0524196
FF39AD47  // -0.0484187
FF419F03  // -0.0464792
FF4DB0E9  // -0.0435325
FF4A305D  // -0.0443875
FF1C085F  // -0.0556561
FF22984E  // -0.054054
FF1B372A  // -0.0558556
FEE2E2A5  // -0.0696081
FEF9A4BE  // -0.0640519
FEEBF7A9  // -0.0673908
FEDBB41E  // -0.0713614
FEE99FBF  // -0.0679629
FEE263CD  // -0.069729
FEE5D5EF  // -0.0688878
FEF8C6A8  // -0.0642637
FEF79ADF  // -0.0645496
FEEC0F97  // -0.0673679
FEFE41DC  // -0.0629255
FEFF8F1A  // -0.0626077
FEFE4777  // -0.0629201
FF19BABD  // -0.0562184
FF14F255  // -0.0573861
FEFADEEF  // -0.0637522
FFDC72C9  // -0.00867959
01142F23  // 0.0674278
018EDEB9  // 0.0973804
02AB57F0  // 0.166832
FF64A2B0  // -0.0379308
FD69A6E0  // -0.161706
FBFF52C2  // -0.250165
FBC8899C  // -0.263541
FBF35B2A  // -0.253087
FD0A5ADC  // -0.184972
FE5CECBC  // -0.102313
FEB35024  // -0.0812224
FED892C5  // -0.0721257
FEE2E2A1  // -0.0696081
FEDA62CD  // -0.0716831
FED989C2  // -0.0718901
FECAA209  // -0.0755291
FEA95FFB  // -0.0836487
FE9A4391  // -0.0873379
FE79C690  // -0.0952696
FE56B954  // -0.103827
FE484407  // -0.107357
FE3DFEDD  // -0.109864
FE13DB48  // -0.120152
FE25CBFF  // -0.115772
FE35F3BB  // -0.111828
FE4FAA77  // -0.10555
FE8BC27A  // -0.090879
FEBAEFC6  // -0.0793612
FED6AFE5  // -0.0725862
FF03C0C4  // -0.0615837
FF0CF845  // -0.0593335
FF1448C3  // -0.0575478
FF267A25  // -0.0531062
FF22BE35  // -0.0540178

