00000000    // 151: 0.00000000000000000000
00065EAA    // 152: 0.00155512243509292603
002409BB    // 153: 0.00879834219813346863
00684A6C    // 154: 0.02546159923076629639
00DF8134    // 155: 0.05456657707691192627
018DD5FC    // 156: 0.09712789952754974365
026B80F5    // 157: 0.15124602988362312317
0364234E    // 158: 0.21194773167371749878
045A7BA8    // 159: 0.27209058403968811035
053022B1    // 160: 0.32425183430314064026
05CEB074    // 161: 0.36296124756336212158
062E9C2A    // 162: 0.38637939840555191040
0658A333    // 163: 0.39664001390337944031
0660EC8D    // 164: 0.39866309240460395813
065E758A    // 165: 0.39806131273508071899
0662AF27    // 166: 0.39909281954169273376
067513B1    // 167: 0.40358323231339454651
06939201    // 168: 0.41102791205048561096
06B67D2C    // 169: 0.41955296695232391357
06D52FD8    // 170: 0.42704758048057556152
06E941C2    // 171: 0.43194747716188430786
06EFB569    // 172: 0.43352261558175086975
06E8F654    // 173: 0.43187554180622100830
06D863F2    // 174: 0.42782969027757644653
06C3C222    // 175: 0.42279256135225296021
06B1FA65    // 176: 0.41845168545842170715
06A90D5D    // 177: 0.41627250984311103821
06ABAB2E    // 178: 0.41691129654645919800
06B7C29A    // 179: 0.41986332088708877563
06C71F4C    // 180: 0.42361383140087127686
06D21E8C    // 181: 0.42629866302013397217
06D30FAF    // 182: 0.42652862891554832458
06C87F32    // 183: 0.42394942790269851685
06B53FCD    // 184: 0.41925029829144477844
069E5BBC    // 185: 0.41366170346736907959
06886F71    // 186: 0.40830940380692481995
0675F981    // 187: 0.40380239859223365784
06675041    // 188: 0.40022302046418190002
065BB9DA    // 189: 0.39739403873682022095
06529670    // 190: 0.39516299962997436523
064BAF04    // 191: 0.39347745478153228760
0646A814    // 192: 0.39225013554096221924
064247B8    // 193: 0.39118167757987976074
063C546F    // 194: 0.38972895964980125427
06323B05    // 195: 0.38726331666111946106
06223C0D    // 196: 0.38335805013775825500
060C4FC4    // 197: 0.37800575792789459229
05F25294    // 198: 0.37166078388690948486
05D77B19    // 199: 0.36510762944817543030
05BF64FE    // 200: 0.35922717303037643433
05AD0A84    // 201: 0.35474635660648345947
05A20B09    // 202: 0.35206130519509315491
059E3103    // 203: 0.35112095996737480164
059F621C    // 204: 0.35141192376613616943
05A210C8    // 205: 0.35206678509712219238
05A221EF    // 206: 0.35208314284682273865
059C2130    // 207: 0.35061758756637573242
058E4CC5    // 208: 0.34724118188023567200
05791FED    // 209: 0.34207146242260932922
055F2CFA    // 210: 0.33573625236749649048
05446771    // 211: 0.32920021191239356995
052D3588    // 212: 0.32353737950325012207
051D8039    // 213: 0.31970236077904701233
0517D785    // 214: 0.31832076981663703918
051C9E54    // 215: 0.31948693096637725830
05299EF0    // 216: 0.32266134023666381836
053A3FBC    // 217: 0.32672093808650970459
0548C6BE    // 218: 0.33026766031980514526
05508026    // 219: 0.33215346187353134155
054FDB39    // 220: 0.33199617639183998108
05495A33    // 221: 0.33040828630328178406
0542AB5E    // 222: 0.32877670973539352417
054218FC    // 223: 0.32863710820674896240
054BAC88    // 224: 0.33097508549690246582
055FA7F2    // 225: 0.33585352450609207153
057B1D2B    // 226: 0.34255711361765861511
059A3C94    // 227: 0.35015542805194854736
05BAAABB    // 228: 0.35807297751307487488
05DC7657    // 229: 0.36632379516959190369
0600FC68    // 230: 0.37524071335792541504
0628BFD9    // 231: 0.38494858518242835999
0651D20B    // 232: 0.39497570320963859558
06782461    // 233: 0.40433156862854957581
0697A6F7    // 234: 0.41202446445822715759
06AEDB33    // 235: 0.41768951341509819031
06C0130C    // 236: 0.42189316451549530029
06D07AC5    // 237: 0.42589833214879035950
06E55290    // 238: 0.43098694086074829102
070112DE    // 239: 0.43776213377714157104
0722141E    // 240: 0.44581996649503707886
07437FAA    // 241: 0.45397917181253433228
075FD2A4    // 242: 0.46089424192905426025
07739ACB    // 243: 0.46572379395365715027
077ECDEC    // 244: 0.46845810115337371826
078480BB    // 245: 0.46984932944178581238
07892BA0    // 246: 0.47098886966705322266
0790BBE4    // 247: 0.47283543646335601807
079D49D8    // 248: 0.47590050101280212402
07AEC955    // 249: 0.48017247393727302551
07C391F9    // 250: 0.48524663224816322327
07D92BCF    // 251: 0.49052029475569725037
07ED16CF    // 252: 0.49538308009505271912
07FD451C    // 253: 0.49933348596096038818
08086AA4    // 254: 0.50205482542514801025
080E253E    // 255: 0.50345348566770553589
080F1EFB    // 256: 0.50369165465235710144
080CF7C0    // 257: 0.50316596031188964844
080A03E6    // 258: 0.50244512408971786499
0808CDB7    // 259: 0.50214930996298789978
