000F7F6A    // 149: 0.00378362089395523071
0026C4F6    // 150: 0.00946518033742904663
003C2F57    // 151: 0.01469358429312705994
004FBE8A    // 152: 0.01946882158517837524
006B77C6    // 153: 0.02623727172613143921
009F0501    // 154: 0.03882313147187232971
00F977E4    // 155: 0.06090535223484039307
0183CD10    // 156: 0.09467798471450805664
023D9EC7    // 157: 0.14004399999976158142
031C457C    // 158: 0.19440220296382904053
040C5D77    // 159: 0.25301882252097129822
04F59D2F    // 160: 0.30996435508131980896
05C082E4    // 161: 0.35949982702732086182
065C4EA6    // 162: 0.39753594249486923218
06C338BF    // 163: 0.42266153916716575623
06FB16C5    // 164: 0.43630101159214973450
0711FBEB    // 165: 0.44189063832163810730
071865BB    // 166: 0.44345639273524284363
071B8828    // 167: 0.44422164559364318848
07221E02    // 168: 0.44582939893007278442
072CAA25    // 169: 0.44840444996953010559
07382EA6    // 170: 0.45121636241674423218
07417281    // 171: 0.45347834005951881409
07471CF5    // 172: 0.45486159995198249817
0749DD3A    // 173: 0.45553324371576309204
074B532D    // 174: 0.45588986948132514954
074C9E50    // 175: 0.45620566606521606445
074D9570    // 176: 0.45644134283065795898
074CFB3E    // 177: 0.45629429072141647339
07494BA2    // 178: 0.45539439469575881958
0741AE7C    // 179: 0.45353554189205169678
07366B61    // 180: 0.45078599825501441956
0728DD12    // 181: 0.44747645407915115356
071AD5F5    // 182: 0.44405170157551765442
070DF843    // 183: 0.44091058894991874695
07032754    // 184: 0.43826992809772491455
06FA70FE    // 185: 0.43614291399717330933
06F356B1    // 186: 0.43440884724259376526
06ED3975    // 187: 0.43291612342000007629
06E79B2C    // 188: 0.43154446780681610107
06E1F9D4    // 189: 0.43016989529132843018
06DB72E7    // 190: 0.42857637628912925720
06D2758D    // 191: 0.42638163641095161438
06C5074C    // 192: 0.42310266196727752686
06B1A18F    // 193: 0.41836696490645408630
069871EC    // 194: 0.41221801936626434326
067C0BC2    // 195: 0.40528465062379837036
06611884    // 196: 0.39870502054691314697
064CB0EC    // 197: 0.39372341334819793701
06420222    // 198: 0.39111531525850296021
06406BCF    // 199: 0.39072781428694725037
06432479    // 200: 0.39139220491051673889
0642DEA0    // 201: 0.39132559299468994141
0638E233    // 202: 0.38888759538531303406
06222353    // 203: 0.38333446905016899109
0600CE61    // 204: 0.37519681826233863831
05DB76BF    // 205: 0.36608004197478294373
05BA4AE8    // 206: 0.35798159241676330566
05A3ABFA    // 207: 0.35245893150568008423
0599F9A5    // 208: 0.35009159520268440247
059B5F38    // 209: 0.35043260455131530762
05A38D19    // 210: 0.35242948308587074280
05AE0F3A    // 211: 0.35499498993158340454
05B7D2A5    // 212: 0.35737862065434455872
05BF49C9    // 213: 0.35920122638344764709
05C38DE3    // 214: 0.36024273559451103210
05C38FCE    // 215: 0.36024456471204757690
05BE4198    // 216: 0.35894927382469177246
05B3B52E    // 217: 0.35637395828962326050
05A61F79    // 218: 0.35305735841393470764
0599F8F5    // 219: 0.35009093955159187317
05949901    // 220: 0.34877872839570045471
059A15CA    // 221: 0.35011843591928482056
05AB8BBD    // 222: 0.35438131168484687805
05C6C92A    // 223: 0.36103168874979019165
05E761FC    // 224: 0.36898992955684661865
06087EDE    // 225: 0.37707411497831344604
062640D8    // 226: 0.38433918356895446777
063E76DB    // 227: 0.39025006815791130066
0650A193    // 228: 0.39468533918261528015
065DEE96    // 229: 0.39793261140584945679
06692D53    // 230: 0.40067799016833305359
06768E47    // 231: 0.40394427999854087830
068A82AD    // 232: 0.40881602838635444641
06A7E5F3    // 233: 0.41599078103899955750
06CE29A7    // 234: 0.42533269152045249939
06F8DDEB    // 235: 0.43575851246714591980
0721381C    // 236: 0.44561015069484710693
074126B6    // 237: 0.45340605825185775757
07565724    // 238: 0.45857919752597808838
07634147    // 239: 0.46173217520117759705
076D916F    // 240: 0.46425002440810203552
077AD0FF    // 241: 0.46748447045683860779
078D4205    // 242: 0.47198678925633430481
07A2F0C0    // 243: 0.47728037834167480469
07B75CB7    // 244: 0.48226615414023399353
07C6A92D    // 245: 0.48600118234753608704
07D0237E    // 246: 0.48831509798765182495
07D69483    // 247: 0.48988772556185722351
07DE4406    // 248: 0.49176409095525741577
07E9EF3F    // 249: 0.49461292847990989685
07F8D5D4    // 250: 0.49825079739093780518
0806F152    // 251: 0.50169498473405838013
080F48D2    // 252: 0.50373155623674392700
080EE992    // 253: 0.50364071875810623169
0806BD17    // 254: 0.50164517387747764587
07FB2DC7    // 255: 0.49882295355200767517
07F1EF11    // 256: 0.49656588211655616760
07EF278D    // 257: 0.49588732793927192688
07F396DC    // 258: 0.49697004258632659912
07FCBEBD    // 259: 0.49920533969998359680
0806AF2B    // 260: 0.50163189694285392761
