001CA25B    // 151: 0.00699077174067497253
00412260    // 152: 0.01590192317962646484
00759EBA    // 153: 0.02871582657098770142
00B9A3A0    // 154: 0.04532206058502197266
010CF696    // 155: 0.06566485017538070679
0171FBD8    // 156: 0.09032806754112243652
01EE54B5    // 157: 0.12068625167012214661
0287E4A4    // 158: 0.15817703306674957275
033F10C1    // 159: 0.20289683714509010315
0409B8FA    // 160: 0.25237367302179336548
04D2B5B3    // 161: 0.30144281312823295593
057F8DE0    // 162: 0.34364116191864013672
05FA16A9    // 163: 0.37355676665902137756
063960CC    // 164: 0.38900832831859588623
06453FD4    // 165: 0.39190657436847686768
0632CE05    // 166: 0.38740350678563117981
061BF9E6    // 167: 0.38183011859655380249
06165EAC    // 168: 0.38046137988567352295
062D359B    // 169: 0.38603745028376579285
065FCAB0    // 170: 0.39838665723800659180
06A38336    // 171: 0.41492005437612533569
06E7863F    // 172: 0.43152451142668724060
0718D8DF    // 173: 0.44356619939208030701
0727079F    // 174: 0.44702875241637229919
07094A6A    // 175: 0.43976823240518569946
06C32190    // 176: 0.42263942956924438477
06661970    // 177: 0.39992660284042358398
060E5C88    // 178: 0.37850621342658996582
05D9DEAF    // 179: 0.36569088324904441833
05DD0721    // 180: 0.36646187677979469299
0619BFA1    // 181: 0.38128626719117164612
067D8C10    // 182: 0.40565115213394165039
06E7FE6E    // 183: 0.43163912743330001831
0736EBD3    // 184: 0.45090849325060844421
0752EF74    // 185: 0.45774789154529571533
0736C17D    // 186: 0.45086811855435371399
06EEFE4C    // 187: 0.43334798514842987061
06933BE3    // 188: 0.41094578430056571960
063C752A    // 189: 0.38976017385721206665
05FCF339    // 190: 0.37425539270043373108
05DC5DD8    // 191: 0.36630043387413024902
05D829C6    // 192: 0.36527421325445175171
05E6CAE3    // 193: 0.36884583160281181335
05FB9BA0    // 194: 0.37392771244049072266
060A2750    // 195: 0.37747889757156372070
06088F1C    // 196: 0.37708960473537445068
05F14EDD    // 197: 0.37141310051083564758
05C4C61D    // 198: 0.36054049804806709290
0589D1A4    // 199: 0.34614719450473785400
054CCC0C    // 200: 0.33124928176403045654
051C625F    // 201: 0.31942975148558616638
0504C938    // 202: 0.31366845965385437012
050B3A2E    // 203: 0.31524103134870529175
052BADF4    // 204: 0.32316394150257110596
055A35F4    // 205: 0.33452410995960235596
05875F4B    // 206: 0.34554986283183097839
05A598C0    // 207: 0.35292887687683105469
05AD0B8E    // 208: 0.35474734753370285034
059C76B0    // 209: 0.35069912672042846680
05778F54    // 210: 0.34168942272663116455
0544C7A2    // 211: 0.32929194718599319458
050C2444    // 212: 0.31546427309513092041
04D761DD    // 213: 0.30258356407284736633
04B1E918    // 214: 0.29343518614768981934
04A6DED8    // 215: 0.29073986411094665527
04BCDB17    // 216: 0.29610737785696983337
04F17861    // 217: 0.30895269289612770081
0537ADC8    // 218: 0.32609346508979797363
057B2837    // 219: 0.34256764873862266541
05A7CE28    // 220: 0.35346809029579162598
05B1C284    // 221: 0.35589839518070220947
05999A98    // 222: 0.35000094771385192871
056ABDE2    // 223: 0.33855999261140823364
05353EB5    // 224: 0.32549925521016120911
05076817    // 225: 0.31430825218558311462
04EA5DAD    // 226: 0.30721824243664741516
04E2917C    // 227: 0.30531452596187591553
04F1C03C    // 228: 0.30902121961116790771
05177749    // 229: 0.31822899356484413147
