0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0.00902759  // 0.00902759
0  // 0
0.00627571  // 0.00627571
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0

0.293722  // 0.293722
0.292473  // 0.292473
0.305081  // 0.305081
0.310882  // 0.310882
0.305429  // 0.305429
0.312527  // 0.312527
0.30365  // 0.30365
0.310485  // 0.310485
0.302714  // 0.302714
0.305653  // 0.305653
0.309816  // 0.309816
0.324179  // 0.324179
0.338687  // 0.338687
0.347943  // 0.347943
0.347669  // 0.347669
0.33476  // 0.33476
0.35607  // 0.35607
0.352533  // 0.352533
0.321556  // 0.321556
0.310427  // 0.310427
0.307343  // 0.307343
0.290914  // 0.290914
0.28515  // 0.28515
0.295114  // 0.295114
0.278731  // 0.278731
0.27789  // 0.27789
0.28767  // 0.28767
0.284609  // 0.284609
0.270268  // 0.270268
0.363691  // 0.363691
0.426237  // 0.426237
0.517204  // 0.517204
0.599871  // 0.599871
0.409073  // 0.409073
0.115345  // 0.115345
0.0404906  // 0.0404906
0.00629265  // 0.00629265
0.0218818  // 0.0218818
0.0835162  // 0.0835162
0.193695  // 0.193695
0.242325  // 0.242325
0.248812  // 0.248812
0.278093  // 0.278093
0.271475  // 0.271475
0.249747  // 0.249747
0.28285  // 0.28285
0.267707  // 0.267707
0.235723  // 0.235723
0.237721  // 0.237721
0.216365  // 0.216365
0.21389  // 0.21389
0.221498  // 0.221498
0.205575  // 0.205575
0.200327  // 0.200327
0.220625  // 0.220625
0.210834  // 0.210834
0.205387  // 0.205387
0.234434  // 0.234434
0.255534  // 0.255534
0.267756  // 0.267756
0.261461  // 0.261461
0.307029  // 0.307029
0.298828  // 0.298828
0.287804  // 0.287804

0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
0  // 0
