019100B1  // 0.0979011
0188FEA7  // 0.095946
018D2FAB  // 0.0969693
019916F3  // 0.0998754
01A15816  // 0.101891
01A27E1E  // 0.102171
01A573B4  // 0.102894
01B43BBF  // 0.106502
01CBC652  // 0.11225
01DEF754  // 0.116935
01E8E5A3  // 0.11936
01F22E62  // 0.121626
0201A015  // 0.125397
0213D850  // 0.129845
0224DB5D  // 0.133998
0235031B  // 0.137942
02425B4E  // 0.1412
02497AE4  // 0.142939
024DD2EF  // 0.144
0256795E  // 0.146112
0263360C  // 0.149221
026CE706  // 0.151588
026ED5A0  // 0.152059

E5C77B4B  // -1.6388
E582D901  // -1.65555
E561246C  // -1.66378
E52EFE66  // -1.67603
E4E88A5F  // -1.69323
E4D744AD  // -1.69744
E538D423  // -1.67363
E5FD16D0  // -1.62571
E6BF76FE  // -1.57826
E70012B9  // -1.56248
E6A6A043  // -1.58432
E630D4E4  // -1.61308
E60EFC62  // -1.62134
E611445D  // -1.62078
E5C60FC8  // -1.63915
E5159968  // -1.68223
E44B0B72  // -1.73168
E3D2F020  // -1.761
E3E4F60F  // -1.7566
E42DBA93  // -1.73884
E426927F  // -1.74058
E3E147DC  // -1.7575
E3CBFCA5  // -1.7627
E3A96D1E  // -1.77114
E2C3CA4F  // -1.8272
E1369D0F  // -1.92417
E01033F1  // -1.99604
E016E4E3  // -1.99441
E10E972F  // -1.93394
E20FBC89  // -1.87116
E23635D6  // -1.86177
E1584D4B  // -1.91594
E0493C7A  // -1.98212
E0027C21  // -1.99939
E09C55D8  // -1.96183
E18C154A  // -1.9033
E28337A5  // -1.84296
E36B40FC  // -1.78631
E3FE32A4  // -1.75044
E4213856  // -1.74189
E4378A20  // -1.73644
E4861CBD  // -1.71726
E4D22330  // -1.6987
E503E31C  // -1.68655
E56B6404  // -1.66128
E61196CF  // -1.62071
E68E5FEF  // -1.59024
E6ACB725  // -1.58283
E6889301  // -1.59166
E64A4003  // -1.60687
E65C0AC0  // -1.60253
E736FD18  // -1.54908
E86A5D35  // -1.47403
E8C6C8CE  // -1.45147
E8002E70  // -1.49996
E714CBFF  // -1.55742
E688272E  // -1.59176
E51BFBDE  // -1.68067
E10ED8F8  // -1.93388
DA8C1F8D  // -2.34079
D45B0088  // -2.72778
D142456C  // -2.92132
D0754C41  // -2.97136
CE1E7470  // -3.11756
C91415D9  // -3.4326
C6A00666  // -3.58593
CD844DEE  // -3.1552
DD4CB544  // -2.16877
EDD200CD  // -1.13623
F8015580  // -0.499674
FBEDA24E  // -0.254484
FD73B27F  // -0.159254
FEABDCCD  // -0.0830414
