FEE3540B  // -0.0694999
FEDDD418  // -0.0708427
FED644F4  // -0.0726881
FEC906D2  // -0.0759212
FEB93E23  // -0.0797747
FEAA7AAD  // -0.0833791
FE9E4ACB  // -0.0863545
FE971B5A  // -0.0881087
FE95901E  // -0.0884856
FE933B94  // -0.0890545
FE87C9A3  // -0.0918487
FE74FC45  // -0.0964391
FE6733A0  // -0.0998043
FE6758D7  // -0.0997688
FE713658  // -0.0973603
FE7B018F  // -0.0949692
FE8162C4  // -0.0934117
FE87882F  // -0.0919111
FE90E0CC  // -0.0896294
FEA08E83  // -0.0858016
FEB8CBEB  // -0.0798837
FED4AED0  // -0.0730755
FEE9A99A  // -0.0679535
FEF4E854  // -0.0652081
FEFF6144  // -0.0626514
FF1076FB  // -0.0584803
FF245706  // -0.0536279
FF324BD7  // -0.0502206
FF36D433  // -0.049114
FF366838  // -0.049217
FF38B4FE  // -0.0486555
FF409B5D  // -0.0467268
FF494B5E  // -0.0446059
FF4BEFEF  // -0.0439606
FF465F3D  // -0.0453193
FF3D1400  // -0.0475883
FF3849E1  // -0.0487577

020A4D89  // 0.127515
01FBB4E5  // 0.123952
01EAA61F  // 0.119787
01CBE4B3  // 0.112279
01A70523  // 0.103276
0187688E  // 0.0955587
0174D70E  // 0.0910254
01719FB5  // 0.0902402
0172B9D5  // 0.0905093
0167E548  // 0.0878651
01521B2C  // 0.0825454
013F3970  // 0.0779356
0132498B  // 0.0747772
012645AB  // 0.0718438
011D937A  // 0.0697207
011971E2  // 0.0687121
011236E0  // 0.0669469
01080582  // 0.0644584
0109D05B  // 0.064896
01227844  // 0.0709155
01493081  // 0.0803685
01647BCB  // 0.0870321
015F96D1  // 0.0858372
014911EC  // 0.0803394
014CA6B0  // 0.0812137
01790CCE  // 0.0920532
01A4BD94  // 0.10272
01A6D0E3  // 0.103227
018D9407  // 0.097065
01824AD4  // 0.0943096
01929FF2  // 0.0982971
01AC39FA  // 0.104547
01B8EA92  // 0.107646
01B1478F  // 0.105781
01A09B73  // 0.101711
019A0221  // 0.1001
01A2D101  // 0.10225
01AD9153  // 0.104875
01AD56C3  // 0.104819
01A24AD9  // 0.102122
0192925F  // 0.0982841
0185807F  // 0.0950932
018481EE  // 0.0948505
0191112E  // 0.0979168
019C9339  // 0.100726
01988B4B  // 0.0997422
01896A2F  // 0.0960485
017D55F1  // 0.0930995
0179F780  // 0.0922771
017D5A07  // 0.0931034
01828667  // 0.0943665
017E14F5  // 0.0932817
016982BF  // 0.0882595
0155501E  // 0.0833284
0157FB2A  // 0.0839798
016E4436  // 0.0894205
0184751B  // 0.0948382
01849B50  // 0.0948747
01392F90  // 0.0764614
0064EA16  // 0.0246373
FF40DDCF  // -0.0466635
FE7D6946  // -0.094382
FE48B162  // -0.107253
FDD9D9B9  // -0.134314
FCBD1583  // -0.203837
FC0D3D4A  // -0.246768
FD4CD612  // -0.168741
005014FA  // 0.0195513
035AF351  // 0.209705
05256AC7  // 0.321635
05D1CBFE  // 0.36372
060E90BA  // 0.378556
0631E5FD  // 0.387182
0642E4DC  // 0.391332
063BCBA8  // 0.389599
0607085E  // 0.376717
057C583A  // 0.342858
048D5A9B  // 0.28451
0370BD66  // 0.215024
028A5666  // 0.158774
02149BA3  // 0.130031
01EF357F  // 0.120901
01D77B40  // 0.115108
01B8501F  // 0.107498
01A5AF86  // 0.102951
01A7A36B  // 0.103427
01AFA07E  // 0.105378
01B26C5B  // 0.10606
01B1E896  // 0.105935
01B58410  // 0.106815
01C439E6  // 0.110407
01DD638E  // 0.11655
01F56F64  // 0.122421
