03814B90  // 0.219066
037CEE51  // 0.218001
035AD772  // 0.209678
03436AD9  // 0.203959
0359F0BD  // 0.209458
037BCE09  // 0.217726
037D430D  // 0.218082
0373BDC7  // 0.215757
0388D45B  // 0.220906
03B44456  // 0.23151
03D5587F  // 0.239586
03E83F26  // 0.244201
03FE1C8E  // 0.249539
04222871  // 0.258339
04572455  // 0.271275
048FDE55  // 0.285124
04AD98B7  // 0.292382
04A80074  // 0.291016
04A4D042  // 0.290238
04C36F0F  // 0.297713
04ECB2CD  // 0.307788
04FB74B1  // 0.311391
04F43243  // 0.309618
04F06037  // 0.308686
04F2B5A6  // 0.309255
04F04063  // 0.308655
04E9AEB3  // 0.307051

F7740AF2  // -0.534169
F7A3CCE7  // -0.52251
F7A2CAA7  // -0.522756
F7528937  // -0.54235
F6FA910A  // -0.563827
F6E0AC1E  // -0.570148
F6EC5A9E  // -0.567296
F707B878  // -0.560615
F73E1BBE  // -0.547337
F7486AC1  // -0.54482
F6CA9D50  // -0.575534
F624A27D  // -0.616056
F61F3CB0  // -0.617374
F6B61163  // -0.58055
F71F29E9  // -0.554892
F70A93FF  // -0.559917
F6EEB7A2  // -0.566719
F7105256  // -0.558515
F71D163F  // -0.555399
F6DB7358  // -0.571423
F68DD62A  // -0.590372
F6761FE0  // -0.596161
F66F2E7F  // -0.597856
F63ACE0C  // -0.610643
F5EAE0E7  // -0.630157
F5BCCB95  // -0.641407
F5B48071  // -0.643432
F5A335C3  // -0.647654
F586A0CC  // -0.654632
F59C9F38  // -0.649262
F6026826  // -0.624412
F660F69D  // -0.601327
F62E15CF  // -0.613749
F56BE1F6  // -0.661161
F4EE7BC0  // -0.691777
F56AF3B8  // -0.661389
F672BA5A  // -0.59699
F7032525  // -0.561732
F6DAE0D0  // -0.571563
F68DC1C0  // -0.590391
F698CA67  // -0.587698
F7058836  // -0.561149
F79721DB  // -0.525602
F7E96927  // -0.505515
F7C68D93  // -0.514025
F77127A7  // -0.534874
F738131F  // -0.54881
F704B730  // -0.561349
F6B785FE  // -0.580194
F6859F36  // -0.592377
F69EB854  // -0.58625
F6D8773E  // -0.572152
F6F38973  // -0.565543
F6F8BDB3  // -0.564272
F725893A  // -0.553336
F7861434  // -0.529766
F7C6E5EC  // -0.513941
F77E7189  // -0.53163
F675533D  // -0.596356
F4B82840  // -0.70504
F2DA9DE4  // -0.821627
F1D2104C  // -0.886215
F1A6CEF1  // -0.896775
F0F98DFF  // -0.939074
EF460493  // -1.04541
EEADD1FA  // -1.08256
F184AC61  // -0.905109
F6E06163  // -0.57022
FB9B29BD  // -0.274618
FE01E167  // -0.124541
FEBFC162  // -0.0781847
FEFBC60E  // -0.0635318
FF398962  // -0.048453
FF946C01  // -0.0262642
FFE056CD  // -0.00772972
FFB6FD18  // -0.017825
FED1F9E9  // -0.0737363
FD37E950  // -0.17385
FB3F2251  // -0.297086
F9949337  // -0.401227
F8BDBE43  // -0.453676
F873F5F5  // -0.471689
F82446EA  // -0.491143
F7E6EF42  // -0.506119
F8161A2A  // -0.494604
F858E252  // -0.4783
F8286222  // -0.490141
F7CD1B52  // -0.512425
F7D8142C  // -0.509746
F82C21F3  // -0.489225
F85AD554  // -0.477824
F85FDDA3  // -0.476595
F86D50D5  // -0.473312
F886ADCA  // -0.467119
F8A3557C  // -0.460124
F8CCB1CF  // -0.450026
F8FC5AF0  // -0.43839
F91EB1B0  // -0.430006
F9353695  // -0.424508
F956473C  // -0.416436
F98D5EDF  // -0.402986
F9C02136  // -0.390593
F9C97CA0  // -0.388309
F9BEFBDB  // -0.390873
F9DEC6EE  // -0.383111
FA1D1B9A  // -0.367894
FA23FBE7  // -0.366215
F9E66C33  // -0.381244
F9BCA119  // -0.391448
F9CADAC8  // -0.387975
F9CA86FF  // -0.388055
F98CF1EA  // -0.40309
F93F4DB7  // -0.422045
F910618E  // -0.433501
F8F159A7  // -0.441077
F8C076E7  // -0.453012
F86FC47E  // -0.472713
F8089DC4  // -0.497896
F7B4E073  // -0.518341
F7A0D96E  // -0.52323
F7B3FCB9  // -0.518558
F7A1A7B4  // -0.523033
F759774E  // -0.540658
F71E6C0E  // -0.555073
F71ACC7A  // -0.555957
F72C6C7A  // -0.551654
F72E9DCC  // -0.551119
F72BB395  // -0.551831
F733CCA6  // -0.549854

0552B871  // 0.332695
05320274  // 0.324709
04EE409F  // 0.308167
04CA8D8E  // 0.299451
05166AC2  // 0.317973
05739F4E  // 0.340728
058308D1  // 0.344491
058118D4  // 0.344018
057FE419  // 0.343723
052CBF83  // 0.323425
04D75E67  // 0.30258
0544E54E  // 0.32932
0626F9A7  // 0.384515
064E5AC9  // 0.39413
059B075B  // 0.350349
0525F010  // 0.321762
055FE6B3  // 0.335913
059071CC  // 0.347765
054F82E6  // 0.331912
051FF2FA  // 0.3203
05609FE3  // 0.33609
05B2FE4E  // 0.3562
05B310D7  // 0.356217
05945511  // 0.348714
05B6C564  // 0.357122
06076D73  // 0.376813
062C1696  // 0.385764
061D5667  // 0.382162
06298B60  // 0.385143
06667A10  // 0.400019
067C0A86  // 0.405283
06166BFD  // 0.380474
057875B4  // 0.341909
056F6DD2  // 0.339704
065043F5  // 0.394596
072A61A7  // 0.447847
06DA4342  // 0.428287
05BC0502  // 0.358403
051FFBB7  // 0.320308
0561E1C7  // 0.336397
05CFEBB9  // 0.363262
05EAD168  // 0.369829
05A23595  // 0.352102
0510765E  // 0.316519
04A6C38D  // 0.290714
04C56A7F  // 0.298197
0516B424  // 0.318043
052A5D94  // 0.322843
0539C56D  // 0.326604
058B45A3  // 0.346502
05D129CF  // 0.363565
05BA7489  // 0.358021
057A80B8  // 0.342408
056C456F  // 0.338933
058E0DA5  // 0.347181
05843D87  // 0.344785
051C2B11  // 0.319377
049E683C  // 0.288674
046EA9CD  // 0.277017
04CD158B  // 0.300069
06056D70  // 0.376325
07C81169  // 0.486345
08A1DE3F  // 0.539519
08032512  // 0.500768
0805EA55  // 0.501444
0A621D97  // 0.648954
0CBC7C40  // 0.796017
0B72DB3E  // 0.715541
06F42850  // 0.434609
02E36135  // 0.180513
0122F749  // 0.0710366
00CA6B02  // 0.0494185
00BCC7CB  // 0.046089
00A5EE50  // 0.0405105
0055128C  // 0.0207696
FFD4DD43  // -0.0105312
FF90A7F5  // -0.0271836
FFD75861  // -0.00992548
00C6DE9E  // 0.0485521
02506209  // 0.144625
03C54B30  // 0.235667
0456A2B2  // 0.271151
0457C282  // 0.271426
04AB3BA9  // 0.291805
05141E42  // 0.317412
04D0D05B  // 0.30098
04577490  // 0.271351
048F6E7D  // 0.285017
0517B0C2  // 0.318284
0512A2EC  // 0.31705
04B0C1C1  // 0.293154
048F2F02  // 0.284957
049E862E  // 0.288702
0496D2F4  // 0.286822
0487CD87  // 0.283155
047FF980  // 0.281244
04654112  // 0.27472
043D31D3  // 0.26494
0426F8F1  // 0.259515
0425B574  // 0.259206
041C308C  // 0.256882
03EDA573  // 0.245519
03B417C5  // 0.231468
03B3F4EF  // 0.231435
03DF0DE9  // 0.241957
03CABDB2  // 0.236997
03715241  // 0.215166
0358AEE1  // 0.209151
03A64A09  // 0.228098
03D6CEFB  // 0.239943
03AB63B3  // 0.229343
038BDB40  // 0.221645
03BF2860  // 0.234169
04045311  // 0.251056
041CE128  // 0.257051
041E8D1C  // 0.257459
042CB93E  // 0.260919
0458BA6E  // 0.271662
04AE4462  // 0.292546
050636E4  // 0.314017
0512FAFA  // 0.317134
04DF493E  // 0.304513
04D84959  // 0.302804
05228EC6  // 0.320937
05630985  // 0.336679
055D9B1C  // 0.335353
0544EC53  // 0.329327
0548DA73  // 0.330286
05526F65  // 0.332626

12AF13CB  // 1.16774
1261E8B6  // 1.1489
12D1418F  // 1.17609
13A108DE  // 1.22682
140829C7  // 1.25199
14100533  // 1.25391
14005A8C  // 1.25009
1399B544  // 1.22503
1323EB70  // 1.19627
13B69D43  // 1.23208
153C54FB  // 1.32723
15F47AF7  // 1.37219
150FD419  // 1.31636
13EEA4B0  // 1.24576
13CC015E  // 1.23731
140E368C  // 1.25347
13D81C09  // 1.24026
1391BA89  // 1.22308
13EBAB81  // 1.24504
149C04D7  // 1.28809
14F59E35  // 1.30997
15028AEE  // 1.31312
15503D50  // 1.33209
15F7FE70  // 1.37305
167F40B1  // 1.40607
16A85ADC  // 1.4161
16C6CD08  // 1.42354
1712005B  // 1.44189
1726E171  // 1.44699
168B350C  // 1.40899
158C3F43  // 1.34674
1552CEB2  // 1.33272
1695268B  // 1.41141
1829EF5C  // 1.51024
180A5645  // 1.50252
16195793  // 1.38119
145D3D7B  // 1.27276
142143C4  // 1.25812
14AC3CB3  // 1.29205
14E0DC02  // 1.3049
1459A07E  // 1.27188
13353E6E  // 1.2005
12274B42  // 1.13459
12049C71  // 1.12613
129D3D85  // 1.16339
1320FA0B  // 1.19555
13844A79  // 1.2198
142C6219  // 1.26084
14CD8306  // 1.30017
14D8545B  // 1.30281
146D38BB  // 1.27667
141A6854  // 1.25645
140C0116  // 1.25293
13D943B5  // 1.24054
1325C170  // 1.19672
1259304D  // 1.14677
1255C24D  // 1.14594
13B8AEF9  // 1.23259
16C88B55  // 1.42396
1AFE48CD  // 1.68708
1E49A878  // 1.89298
1F3308F1  // 1.94996
1FE29876  // 1.99282
233004EF  // 2.19922
268ABDB4  // 2.40887
23DD3E26  // 2.24151
1A16ECA2  // 1.6306
0EDF9113  // 0.929582
0766F23B  // 0.462633
03FBCF35  // 0.248977
02A9230D  // 0.166293
020BB77C  // 0.127861
015E96F9  // 0.0855932
008792C9  // 0.033099
004A7C35  // 0.0181849
016D6D45  // 0.0892155
0425782C  // 0.259148
082AAB4D  // 0.510417
0C54E1A5  // 0.770723
0F097EEE  // 0.939818
1020F3CE  // 1.00805
10EEB42C  // 1.05828
11C73717  // 1.11114
11B846A1  // 1.10749
11025758  // 1.06307
111245A8  // 1.06696
11E4E93A  // 1.11839
1221ED57  // 1.13328
118E9C5B  // 1.09732
1112FBF6  // 1.06713
10F37BC4  // 1.05944
10D12A00  // 1.05107
109DA4FC  // 1.03849
106D38AA  // 1.02667
101FC119  // 1.00775
0FB4D619  // 0.981649
0F5C3237  // 0.960009
0F2461A4  // 0.946382
0EE9FE8A  // 0.932128
0E829078  // 0.906876
0E009B3A  // 0.875148
0DC1B785  // 0.859794
0DD964A3  // 0.865574
0DBF9CF9  // 0.859281
0D36B2F3  // 0.825854
0CE550E6  // 0.805985
0D432BA6  // 0.828899
0DBCD0B3  // 0.858597
0DBA7FD0  // 0.858032
0D9E3E29  // 0.851133
0DF9B5B4  // 0.873464
0E9E9127  // 0.913713
0F196246  // 0.943697
0F667B8D  // 0.96252
0FC15E8C  // 0.984709
104FC617  // 1.01948
111FF996  // 1.07031
11FD47C0  // 1.12434
126D567C  // 1.15169
12581B61  // 1.14651
1255418E  // 1.14581
12D248C9  // 1.17634
136C81F1  // 1.21399
139FEC76  // 1.22654
138889C8  // 1.22083
137FE8FC  // 1.21873
138740A6  // 1.22052
137A522C  // 1.21736
1361DFBA  // 1.2114

