FEFF3F62  // -0.0626837
FEF8C568  // -0.0642649
FEF330EA  // -0.0656272
FEEC7AFC  // -0.0672655
FEDF0F92  // -0.0705418
FED205BF  // -0.073725
FED0CF39  // -0.0740211
FED6ACB2  // -0.0725892
FED5C3E6  // -0.0728112
FECC84BC  // -0.0750687
FEC434D0  // -0.0770981
FEC2285D  // -0.0775982
FEC5B319  // -0.0767335
FECBC03C  // -0.0752561
FECE6271  // -0.0746132
FECABA8D  // -0.0755057
FEC87C62  // -0.0760533
FED106B0  // -0.0739682
FEE16FF5  // -0.0699616
FEEF902F  // -0.0665129
FEF80516  // -0.0644483
FEFEFE3D  // -0.0627458
FF098C6E  // -0.0601688
FF1AF8CE  // -0.0559151
FF30F881  // -0.0505443
FF411FBB  // -0.0466006
FF42869E  // -0.0462583
FF397625  // -0.0484713
FF3315FE  // -0.0500279
FF378D47  // -0.0489375
FF437B6E  // -0.0460249
FF4C76AE  // -0.0438321
FF4BA7B6  // -0.0440295
FF449863  // -0.0457531
FF3F83E5  // -0.0469934

0123C010  // 0.0712281
013D2247  // 0.0774253
0169ECBF  // 0.0883605
0169CEB5  // 0.0883319
0147B184  // 0.0800033
01470580  // 0.0798392
016FE644  // 0.0898192
018E1F6B  // 0.0971979
018BAC9E  // 0.0966002
017BB601  // 0.0927029
016B5087  // 0.0886998
01600B4E  // 0.0859483
01635D00  // 0.0867586
016FB9DD  // 0.0897769
01700ACC  // 0.089854
015D2B0A  // 0.0852461
014692DC  // 0.0797299
013D6FF6  // 0.0774994
0141D962  // 0.0785765
01439014  // 0.0789948
013461CB  // 0.0752886
0115FB9F  // 0.0678669
00F2936F  // 0.0592226
00D5A406  // 0.0521584
00CD3F10  // 0.050109
00DAB984  // 0.0533996
00E6F6AC  // 0.0563876
00E1CAA2  // 0.0551249
00DABDF5  // 0.0534038
00DE6287  // 0.0542932
00DC7757  // 0.0538247
00CBE06C  // 0.0497746
00C17C75  // 0.0472378
00D15C24  // 0.0511133
00FBFC11  // 0.0615197
0137B967  // 0.0761045
016F184C  // 0.0896228
0189A601  // 0.0961056
018B7F16  // 0.0965567
018F16E2  // 0.0974339
019C1A60  // 0.100611
01A76921  // 0.103372
01AFD428  // 0.105427
01B7D926  // 0.107385
01B73E3D  // 0.107237
01ACC178  // 0.104677
01A60047  // 0.103028
01AA9A2B  // 0.104151
01B7EFA4  // 0.107406
01CCF88C  // 0.112542
01E1FAE7  // 0.117671
01E4DC79  // 0.118374
01D48B5C  // 0.114391
01CA5215  // 0.111895
01D8814E  // 0.115358
01F9A994  // 0.123453
021F9E71  // 0.132719
0229F25F  // 0.135241
01DF40F1  // 0.117005
0135B82C  // 0.0756151
008CFFC3  // 0.0344236
003C89FF  // 0.01478
FFF6C921  // -0.00224959
FF22C2C8  // -0.0540135
FDEB04B0  // -0.130122
FD6BAD00  // -0.161212
FE815B9D  // -0.0934185
00BB082F  // 0.0456621
02D1A82E  // 0.176186
03FD841C  // 0.249394
047A42EE  // 0.279849
04D47EB2  // 0.301879
05303261  // 0.324267
056466A4  // 0.337012
0564CD7C  // 0.33711
053D7D1B  // 0.327512
04DB0189  // 0.303468
04258C67  // 0.259167
0345C190  // 0.20453
0295F339  // 0.161609
02479D8A  // 0.142484
02393B47  // 0.138973
02308FCC  // 0.136856
021EDB43  // 0.132533
021567D7  // 0.130226
021650C9  // 0.130448
02145A77  // 0.129969
020D7E67  // 0.128294
020907D0  // 0.127205
020C64D0  // 0.128026
021DC342  // 0.132266
023AFA05  // 0.139399
02509D83  // 0.144681
025452C0  // 0.145587
0257307D  // 0.146286
02658709  // 0.149787
0274264E  // 0.153357
0281AEF6  // 0.156661
029DCF87  // 0.163528
02BFCF85  // 0.171829
02C9130E  // 0.17409
02BAE4F8  // 0.170629
02B7910E  // 0.169816
02CB8193  // 0.174684
02E1B53D  // 0.180104
02E942D7  // 0.181949
02E2B322  // 0.180347
02D49B90  // 0.176906
02CB7EF3  // 0.174682
02D1D08A  // 0.176224
02DA78B6  // 0.178338
02CC1656  // 0.174826
02A68CAC  // 0.165661
02825D8A  // 0.156827
026CB544  // 0.15154
025D2075  // 0.147736
0246CDFB  // 0.142286
022130BF  // 0.133103
01EE145D  // 0.120625
01C2E827  // 0.110085
01B8BAAF  // 0.1076
01CC5B90  // 0.112392
01DF823E  // 0.117068
01DA076F  // 0.11573
01BF1D2E  // 0.109159
01A6530D  // 0.103107
01A3BF7B  // 0.102478
01B3AD75  // 0.106367
01C21A5A  // 0.109888

00138E45  // 0.00477435
FFFDCBD6  // -0.000538029
0005B8EB  // 0.00139705
00206B4B  // 0.00791482
0020146E  // 0.00783198
0007D737  // 0.00191423
00019AF9  // 0.000391934
00115010  // 0.00422674
001B8BD6  // 0.00672515
001B7856  // 0.00670656
001AABBF  // 0.00651145
001691D7  // 0.00551018
000F685F  // 0.00376165
000FBE5F  // 0.00384366
0018297A  // 0.00589893
001D64D9  // 0.00717625
0019C71D  // 0.0062934
00121315  // 0.00441273
000EBE43  // 0.00359942
0013670E  // 0.00473695
001A30B1  // 0.00639409
001C916B  // 0.00697462
001B03F2  // 0.00659556
0015170E  // 0.00514894
000A0D58  // 0.00245413
000435A3  // 0.00102771
000B3590  // 0.00273663
0011BEE1  // 0.00433243
000CCD05  // 0.00312521
00094E65  // 0.00227203
00103882  // 0.00396014
0013B826  // 0.00481429
000B8C6C  // 0.00281946
000138EC  // 0.000298426
FFFA94D2  // -0.00132292
FFF90C8B  // -0.00169702
0002BF44  // 0.000670686
0012962E  // 0.00453775
0017D0AB  // 0.00581424
00129B5F  // 0.0045427
0011894A  // 0.00428132
0014D756  // 0.00508817
0014CD23  // 0.00507845
0015D336  // 0.00532838
001B5C70  // 0.00667995
001D02ED  // 0.00708287
00184FF8  // 0.00593564
0014A113  // 0.00503642
0012B8C8  // 0.00457075
0010702A  // 0.00401322
0014255B  // 0.00491844
001EBC80  // 0.00750399
0022A265  // 0.00845565
001A27E7  // 0.00638571
00111C5F  // 0.00417745
000E0DDD  // 0.00343119
000FA43F  // 0.00381875
0021C9C2  // 0.00824905
00493075  // 0.0178685
005E5331  // 0.0230286
003BBB09  // 0.0145827
