0422  // 0.258301
03CB  // 0.237061
03B3  // 0.231201
03A2  // 0.227051
0351  // 0.207275
02DE  // 0.179199
0285  // 0.157471
0253  // 0.145264
0221  // 0.133057
01F1  // 0.121338
0228  // 0.134766
02B5  // 0.169189
02E0  // 0.179688
0254  // 0.145508
01B3  // 0.106201
0193  // 0.0983887
01E8  // 0.119141
029A  // 0.162598
038D  // 0.221924
041E  // 0.257324
03F0  // 0.246094
03B1  // 0.230713
03F3  // 0.246826
0469  // 0.275635
04C5  // 0.298096
0516  // 0.317871
051E  // 0.319824
04B3  // 0.293701
0471  // 0.277588
04CA  // 0.299316
0546  // 0.32959
0563  // 0.33667
0544  // 0.329102
0518  // 0.318359
04D7  // 0.30249
04C1  // 0.297119
04FB  // 0.311279
0552  // 0.33252
058F  // 0.347412
051B  // 0.319092
0312  // 0.191895
000C  // 0.00292969
FE4D  // -0.106201
FE15  // -0.119873
FC86  // -0.217285
F8A2  // -0.460449
F679  // -0.595459
FA56  // -0.354004
02AC  // 0.166992
0A35  // 0.637939
0E23  // 0.883545
0F98  // 0.974609
1076  // 1.02881
1142  // 1.07861
11B7  // 1.10718
11B6  // 1.10693
1149  // 1.08032
106D  // 1.02661
0F0D  // 0.940674
0D0C  // 0.81543
0A7E  // 0.655762
0820  // 0.507812
06DE  // 0.429199
06B6  // 0.419434
06B8  // 0.419922
063D  // 0.389893
057E  // 0.343262
0536  // 0.325684
05D2  // 0.36377
06C6  // 0.42334
06EE  // 0.433105
060A  // 0.377441
0519  // 0.318604
0520  // 0.320312
0608  // 0.376953
06EF  // 0.43335
0739  // 0.451416
071C  // 0.444336
0721  // 0.445557
0794  // 0.473633
0849  // 0.517822
08AD  // 0.542236
086F  // 0.5271
07F0  // 0.496094
07C2  // 0.484863
081C  // 0.506836
08C3  // 0.547607
0943  // 0.578857
0926  // 0.571777
086F  // 0.5271
07D0  // 0.488281
07E7  // 0.493896
0879  // 0.529541
08E4  // 0.555664
08D2  // 0.55127
0836  // 0.513184
0778  // 0.466797
06FA  // 0.436035
068E  // 0.409668
05F2  // 0.371582
05AD  // 0.354736
0628  // 0.384766
0666  // 0.399902
0572  // 0.340332
0426  // 0.259277
03DB  // 0.240967
045E  // 0.272949
04B8  // 0.294922
04C2  // 0.297363
04BF  // 0.296631

0063  // 0.0241699
005F  // 0.0231934
0058  // 0.0214844
0063  // 0.0241699
005E  // 0.0229492
0040  // 0.015625
003C  // 0.0146484
005C  // 0.0224609
0064  // 0.0244141
004B  // 0.0183105
003F  // 0.0153809
004B  // 0.0183105
005B  // 0.0222168
0057  // 0.0212402
0045  // 0.0168457
0046  // 0.0170898
005B  // 0.0222168
006C  // 0.0263672
0055  // 0.020752
0042  // 0.0161133
0046  // 0.0170898
004E  // 0.019043
0044  // 0.0166016
0031  // 0.0119629
002A  // 0.0102539
002B  // 0.010498
002A  // 0.0102539
0022  // 0.00830078
0026  // 0.00927734
0044  // 0.0166016
004F  // 0.0192871
002D  // 0.0109863
000D  // 0.00317383
0014  // 0.00488281
002B  // 0.010498
003A  // 0.0141602
005D  // 0.0227051
0070  // 0.0273438
0058  // 0.0214844
003C  // 0.0146484
004D  // 0.0187988
0068  // 0.0253906
006A  // 0.0258789
0070  // 0.0273438
0074  // 0.0283203
005D  // 0.0227051
0048  // 0.0175781
0061  // 0.0236816
007D  // 0.0305176
0079  // 0.029541
0069  // 0.0256348
0068  // 0.0253906
005E  // 0.0229492
0059  // 0.0217285
0067  // 0.0251465
0075  // 0.0285645
007B  // 0.0300293
0077  // 0.0290527
003A  // 0.0141602
FFBE  // -0.0161133
FF8B  // -0.0285645
FFD2  // -0.0112305
FFD7  // -0.0100098
FF29  // -0.0524902
FEAD  // -0.0827637
FF62  // -0.0385742
00CF  // 0.0505371
01AD  // 0.104736
01AB  // 0.104248
016E  // 0.0893555
0160  // 0.0859375
0179  // 0.092041
017E  // 0.0932617
0173  // 0.0905762
0162  // 0.0864258
0148  // 0.0800781
0126  // 0.0717773
00F0  // 0.0585938
00AB  // 0.041748
0067  // 0.0251465
005C  // 0.0224609
007F  // 0.0310059
0094  // 0.0361328
0080  // 0.03125
005F  // 0.0231934
0057  // 0.0212402
0074  // 0.0283203
00A6  // 0.0405273
00AC  // 0.0419922
0074  // 0.0283203
0047  // 0.017334
0056  // 0.0209961
008A  // 0.0336914
00AC  // 0.0419922
00A7  // 0.0407715
008F  // 0.0349121
008C  // 0.0341797
009D  // 0.0383301
00B9  // 0.045166
00C7  // 0.048584
00B2  // 0.043457
0096  // 0.0366211
0091  // 0.0354004
00A6  // 0.0405273
00C1  // 0.0471191
00D0  // 0.0507812
00C7  // 0.048584
00A5  // 0.0402832
0089  // 0.0334473
0097  // 0.0368652
00BA  // 0.0454102
00C8  // 0.0488281
00BD  // 0.0461426
00A4  // 0.0400391
0086  // 0.0327148
0081  // 0.0314941
0084  // 0.0322266
006F  // 0.0270996
005F  // 0.0231934
0080  // 0.03125
00A0  // 0.0390625
0072  // 0.027832
002C  // 0.0107422
0033  // 0.0124512
0066  // 0.0249023
0070  // 0.0273438
0062  // 0.0239258
0062  // 0.0239258
0060  // 0.0234375

F997  // -0.400635
F956  // -0.416504
F945  // -0.420654
F93A  // -0.42334
F91B  // -0.430908
F974  // -0.40918
FA40  // -0.359375
FA7F  // -0.343994
F9FA  // -0.376465
F9B9  // -0.392334
FA2A  // -0.364746
FA94  // -0.338867
FA65  // -0.350342
FA06  // -0.373535
FA0D  // -0.371826
FA61  // -0.351318
FA64  // -0.350586
F9D0  // -0.386719
F964  // -0.413086
F9BD  // -0.391357
FA47  // -0.357666
FA75  // -0.346436
FA87  // -0.342041
FAF0  // -0.316406
FBA2  // -0.272949
FC2E  // -0.23877
FC7D  // -0.219482
FCC6  // -0.20166
FD10  // -0.183594
FCD9  // -0.197021
FC0D  // -0.246826
FBAC  // -0.270508
FC5E  // -0.227051
FD5E  // -0.164551
FDAB  // -0.145752
FD38  // -0.173828
FC3F  // -0.234619
FADA  // -0.321777
F9DD  // -0.383545
FA01  // -0.374756
FA75  // -0.346436
FA2B  // -0.364502
F97B  // -0.407471
F8E9  // -0.443115
F872  // -0.472168
F84E  // -0.480957
F8DE  // -0.445801
F956  // -0.416504
F8F0  // -0.441406
F82A  // -0.489746
F7EA  // -0.505371
F815  // -0.494873
F858  // -0.478516
F8B3  // -0.456299
F8E5  // -0.444092
F899  // -0.462646
F815  // -0.494873
F7B3  // -0.518799
F835  // -0.487061
FAED  // -0.317139
FF68  // -0.0371094
026B  // 0.151123
02EB  // 0.182373
04C2  // 0.297363
0A3F  // 0.640381
0E2F  // 0.886475
09A1  // 0.601807
FD98  // -0.150391
F1C5  // -0.889404
EB30  // -1.30078
E8C8  // -1.45117
E778  // -1.5332
E643  // -1.60864
E581  // -1.65601
E56E  // -1.66064
E601  // -1.62476
E735  // -1.54956
E931  // -1.42554
EC14  // -1.24512
EFD1  // -1.01147
F378  // -0.783203
F597  // -0.650635
F5F8  // -0.626953
F5EA  // -0.630371
F68A  // -0.591309
F7A4  // -0.522461
F834  // -0.487305
F774  // -0.53418
F601  // -0.624756
F58E  // -0.652832
F6C0  // -0.578125
F83D  // -0.485107
F86B  // -0.473877
F729  // -0.55249
F5BC  // -0.641602
F52D  // -0.676514
F552  // -0.66748
F55A  // -0.665527
F4C2  // -0.702637
F3B6  // -0.768066
F306  // -0.811035
F347  // -0.795166
F406  // -0.748535
F461  // -0.726318
F3F1  // -0.753662
F2FF  // -0.812744
F22F  // -0.863525
F239  // -0.861084
F337  // -0.799072
F438  // -0.736328
F43B  // -0.735596
F36B  // -0.786377
F2B8  // -0.830078
F2BE  // -0.828613
F38F  // -0.777588
F4B0  // -0.707031
F57D  // -0.656982
F61C  // -0.618164
F6F8  // -0.564453
F77F  // -0.531494
F6EA  // -0.567871
F666  // -0.600098
F797  // -0.525635
F996  // -0.400879
FA46  // -0.35791
F994  // -0.401367
F8F5  // -0.440186
F8DC  // -0.446289
F8E3  // -0.44458

