03A24DA6  // 0.227125
03A2E0E5  // 0.227265
03984CE9  // 0.224683
038CB929  // 0.221856
0392DDFD  // 0.223356
03AF518D  // 0.230302
03D44AC4  // 0.239329
03F2C155  // 0.246766
0406DCA1  // 0.251675
041B1A08  // 0.256617
043EB62E  // 0.26531
046EA2E5  // 0.277011
04953CC5  // 0.286435
04AB1125  // 0.291764
04BF3E5E  // 0.29669
04D7EE6A  // 0.302718
04EA6D21  // 0.307233
04F60B2F  // 0.310069
05053211  // 0.313768
0513FB11  // 0.317378
0514CDDA  // 0.317579
050B788C  // 0.315301
0508F707  // 0.314689
0510AD33  // 0.316571

F72DA8C9  // -0.551353
F726D644  // -0.553018
F71BAA0A  // -0.555746
F70AB70E  // -0.559884
F7021101  // -0.561996
F713C00D  // -0.557678
F736B65D  // -0.549142
F7448AF9  // -0.545766
F726F7E8  // -0.552986
F6FC04AE  // -0.563472
F6F2A2B1  // -0.565763
F70CF503  // -0.559337
F7263001  // -0.553177
F728A49E  // -0.552577
F71A5BC8  // -0.556065
F7063A66  // -0.560979
F6F8CBF7  // -0.564259
F6FCD51B  // -0.563273
F7057DD7  // -0.561159
F6F655D9  // -0.56486
F6C98171  // -0.575804
F6956379  // -0.588528
F670D730  // -0.597451
F66190CA  // -0.60118
F6560AD5  // -0.603994
F62D6887  // -0.613914
F5DF65D0  // -0.63296
F599CA3E  // -0.649954
F599999F  // -0.65
F5E4D2D5  // -0.631635
F638A18C  // -0.611174
F6426321  // -0.608792
F5F294C6  // -0.628276
F5993CCE  // -0.650088
F59D8879  // -0.64904
F6117F83  // -0.620728
F6A04B6D  // -0.585866
F6EF5B5F  // -0.566563
F6FA9C77  // -0.563816
F700492F  // -0.56243
F727DE4F  // -0.552767
F75F7C2E  // -0.539188
F7872721  // -0.529504
F7929025  // -0.526718
F7803C1D  // -0.531193
F75B0FAD  // -0.540268
F745193D  // -0.54563
F75925DD  // -0.540735
F7862C26  // -0.529743
F7A6B44F  // -0.521801
F7AB4729  // -0.520684
F7983D0A  // -0.525332
F778AAFF  // -0.53304
F766140F  // -0.537579
F779704C  // -0.532852
F7A517AE  // -0.522194
F7B50D0D  // -0.518298
F769D4D9  // -0.536662
F67F87C9  // -0.593865
F4DF5AA6  // -0.69547
F30FFDA3  // -0.808596
F206A918  // -0.873374
F1E7E92D  // -0.880881
F1723DBF  // -0.909609
EFC713D9  // -1.0139
EE790EA1  // -1.09545
F032A016  // -0.98764
F524426E  // -0.678648
FA750BC7  // -0.346424
FDA36B97  // -0.147602
FED54F68  // -0.0729223
FF63A76D  // -0.0381704
FFD0164D  // -0.0116975
FFEE88F5  // -0.00426392
FFCD96A0  // -0.0123075
FF965729  // -0.0257958
FF16A598  // -0.056971
FDF2A254  // -0.128263
FC28C29C  // -0.240049
FA3BBE82  // -0.360414
F8D294B8  // -0.448589
F82AEDAE  // -0.489519
F7FD70D2  // -0.500625
F7EB5C39  // -0.505039
F7D63906  // -0.5102
F7C7C6EC  // -0.513726
F7C1FE07  // -0.515139
F7C0E65A  // -0.515405
F7C936EE  // -0.513375
F7DF450F  // -0.507991
F7FC1859  // -0.500953
F814FBFF  // -0.494877
F826B8B6  // -0.490547
F834984C  // -0.487159
F8451439  // -0.483135
F8639508  // -0.475688
F8969432  // -0.463238
F8CCACBF  // -0.450031
F8E9007B  // -0.443115
F8EEF56B  // -0.44166
F906FC68  // -0.435794
F94516D5  // -0.420633
F9876F6D  // -0.404435
F9A458AC  // -0.397376
F99C1656  // -0.399393
F9893D43  // -0.403994
F97FB110  // -0.406325
F9892184  // -0.404021
F9A062AB  // -0.398343
F9A92038  // -0.39621
F9896F81  // -0.403946
F949D6EB  // -0.419473
F9095EFD  // -0.435212
F8DC3746  // -0.446236
F8BBD2D3  // -0.454145
F88D0D60  // -0.465563
F840136A  // -0.484356
F7ED31FA  // -0.504591
F7B694F2  // -0.517924
F795AFDF  // -0.525955
F76F52A2  // -0.535322
F7466900  // -0.54531
F72BB254  // -0.551832
F7164CC4  // -0.557056
F6FAA14A  // -0.563811
F6EA2058  // -0.56784
F6F3B70D  // -0.565499
F702BCC1  // -0.561832
F6FE5B64  // -0.562901

05439DDF  // 0.329008
0546A40C  // 0.329746
05477F0C  // 0.329955
054C0004  // 0.331055
055F7EFE  // 0.335814
057472E6  // 0.34093
056AF093  // 0.338608
053FDD7F  // 0.328092
052255CB  // 0.320883
053C7726  // 0.327262
057157E5  // 0.340172
0580E317  // 0.343967
0563C31D  // 0.336856
0547C87E  // 0.330025
0543170A  // 0.328879
054C2F79  // 0.3311
055F2653  // 0.33573
0570FA92  // 0.340083
0569DDE1  // 0.338346
0551F852  // 0.332512
05502CED  // 0.332074
0570967B  // 0.339987
059C20A9  // 0.350617
05BABB1C  // 0.358089
05BE019E  // 0.358888
05AE5E47  // 0.35507
05B8A38D  // 0.357578
05FD8809  // 0.374397
06555000  // 0.395828
066F9C68  // 0.402249
062C5B1F  // 0.385829
05C42510  // 0.360387
059CFD52  // 0.350828
05E8B217  // 0.36931
06622293  // 0.398959
0688AD33  // 0.408368
062D6ED3  // 0.386092
05A63E70  // 0.353087
05630397  // 0.336673
056FDAA0  // 0.339808
05813D8F  // 0.344053
056608E7  // 0.337411
05354AFE  // 0.325511
0510302E  // 0.316452
04FCEF93  // 0.311752
0504EEB4  // 0.313704
052DB46C  // 0.323658
0551F5C9  // 0.33251
0546CBA1  // 0.329784
051B5D8D  // 0.319181
04FA8E90  // 0.311171
04F053B8  // 0.308674
04FA558F  // 0.311117
051BD420  // 0.319294
053CF545  // 0.327382
0532DFE5  // 0.324921
04FB2401  // 0.311314
04B85B41  // 0.295009
048E9A07  // 0.284815
04CF9E4F  // 0.300688
05EF1148  // 0.370866
07A3ACE5  // 0.47746
088F87A2  // 0.535041
080129B7  // 0.500284
07A56C6A  // 0.477887
0985CC7D  // 0.595166
0C59600D  // 0.77182
0C613D38  // 0.77374
08833F7D  // 0.532043
03DD7CDC  // 0.241574
016EF3FD  // 0.0895882
00DDF3C9  // 0.0541876
008274A3  // 0.0318495
000D0765  // 0.00318088
