037DFFF8  // 0.218262
034A08EF  // 0.205575
0310A2B6  // 0.191561
0302424F  // 0.188052
03348A5D  // 0.200327
0377D2B9  // 0.216754
0387AE35  // 0.220625
035F93E8  // 0.210834
03309D8D  // 0.199369
03240728  // 0.196296
034943A6  // 0.205387
038CDCF4  // 0.22189
03C03DCE  // 0.234434
03E0360E  // 0.242239
0416AAD7  // 0.255534
0448BA05  // 0.267756
042DBAE4  // 0.261165
03FA64BF  // 0.248631
042EF1D2  // 0.261461
04AF1E7F  // 0.292754
04E996C0  // 0.307029
04C8003D  // 0.298828
04A41C85  // 0.290066
049AD84E  // 0.287804
0495E025  // 0.286591
049893A6  // 0.28725

F783BE9F  // -0.530336
F7A4880B  // -0.522331
F7A6D294  // -0.521772
F7AFC151  // -0.519591
F7B743B3  // -0.517758
F77C514D  // -0.532149
F7297202  // -0.552382
F72B270E  // -0.551965
F766DAC1  // -0.537389
F76891DB  // -0.53697
F72B679F  // -0.551903
F70E5D34  // -0.558993
F73585AB  // -0.549433
F761B10B  // -0.53865
F7529E00  // -0.54233
F7267E16  // -0.553102
F733D6A9  // -0.549844
F77B2D1E  // -0.532428
F799179D  // -0.525124
F7677B63  // -0.537236
F730A24A  // -0.550626
F7242543  // -0.553675
F717F27C  // -0.556654
F6E2D95D  // -0.569617
F6975F35  // -0.588044
F65F1674  // -0.601785
F641E164  // -0.608916
F6228F87  // -0.616562
F6092D38  // -0.62276
F633BD1A  // -0.612368
F6910BFC  // -0.589588
F6A03B31  // -0.585881
F63AA6F2  // -0.610681
F5DB0F68  // -0.634019
F5D4DD24  // -0.635531
F60EE539  // -0.621363
F68356AF  // -0.592935
F71E6F46  // -0.55507
F76D2D50  // -0.535845
F7441609  // -0.545877
F721ADA2  // -0.554278
F755D68D  // -0.541543
F79CCA63  // -0.524221
F7D00BDC  // -0.511707
F8016E1B  // -0.499651
F7FFEEB0  // -0.500017
F7B54CC2  // -0.518237
F7921127  // -0.526839
F7D7D2C2  // -0.509809
F8250043  // -0.490967
F82E4341  // -0.488705
F81933F5  // -0.493847
F7FC8947  // -0.500846
F7D4F00F  // -0.510513
F7CBFAB5  // -0.5127
F7F577E9  // -0.502571
F82F3428  // -0.488476
F857F084  // -0.47853
F80540B7  // -0.498718
F69FEB12  // -0.585957
F4AE3B4E  // -0.707463
F3B2FC77  // -0.768802
F3A5F1A4  // -0.771986
F28661E4  // -0.842192
EFEDC575  // -1.00445
EECAB80D  // -1.07551
F1A60475  // -0.896968
F7128B98  // -0.557972
FB9F1C67  // -0.273655
FDD11532  // -0.136454
FE9F070A  // -0.0861749
FF2E31C4  // -0.0512221
FFADD929  // -0.0200566
FFEED74C  // -0.00418921
FFE7739C  // -0.00599326
FF9BAFD2  // -0.0244905
FF09E08A  // -0.0600886
FE27BAB1  // -0.1153
FCD9AE00  // -0.196856
FB358D3B  // -0.299426
F9C4C411  // -0.389461
F913FAC3  // -0.432622
F9088ABF  // -0.435415
F90691B4  // -0.435896
F8AD8A23  // -0.457632
F830DE61  // -0.488069
F81020D7  // -0.496062
F8852845  // -0.467491
F920BCC7  // -0.429507
F92A0DD6  // -0.427233
F8876621  // -0.466944
F7F0DAAF  // -0.503698
F80A322D  // -0.497511
F8A9522A  // -0.458662
F93273FF  // -0.425182
F955470A  // -0.41668
F93D5920  // -0.422522
F943C40B  // -0.420956
F995DCC5  // -0.400913
FA08F948  // -0.372809
FA3F7123  // -0.359511
FA11CE52  // -0.370653
F9C1396D  // -0.390326
F9AAB16C  // -0.395827
F9EAF9D0  // -0.380133
FA58C07A  // -0.353332
FAA3B9DF  // -0.335028
FA82CC6C  // -0.343067
FA08EF68  // -0.372819
F9AED8A1  // -0.394813
F9C8795F  // -0.388556
FA26A97E  // -0.365561
FA667255  // -0.349989
FA4FBABA  // -0.355535
F9E7AED6  // -0.380937
F9714A1B  // -0.409841
F9286FD3  // -0.427628
F8E486E0  // -0.444207
F87F7472  // -0.468883
F85E6F61  // -0.476945
F8B6BD82  // -0.455386
F8D0CE9C  // -0.449022
F8202BAE  // -0.492146
F754B313  // -0.541821
F73E7081  // -0.547256
F797EFF1  // -0.525406
F7C9B704  // -0.513253
F7CF5099  // -0.511886
F7CEC82B  // -0.512016

053D6F03  // 0.327498
0520A9F6  // 0.320475
04F92ADD  // 0.310832
050C0350  // 0.315433
04FA204E  // 0.311066
04C58EA1  // 0.298232
04FA3C3E  // 0.311093
056ED874  // 0.339562
056CA7CA  // 0.339027
050CD443  // 0.315632
04FF8A91  // 0.312388
05523EA0  // 0.332579
05807F58  // 0.343871
0550C9FA  // 0.332224
050EDEC1  // 0.31613
051F3E8F  // 0.320128
056C7D66  // 0.338987
05705907  // 0.339929
05110A42  // 0.31666
04DE467D  // 0.304266
0517E046  // 0.318329
05507C20  // 0.33215
0544694C  // 0.329202
053275C6  // 0.324819
055428CA  // 0.333047
0595AD2E  // 0.349042
05C05D8A  // 0.359464
05C640E7  // 0.360902
05E4693E  // 0.368264
0625331C  // 0.384082
060F0ADD  // 0.378672
058980C9  // 0.34607
05549F28  // 0.33316
05C3F24A  // 0.360338
062FA731  // 0.386634
063F7886  // 0.390496
06390DA0  // 0.388929
05F785B7  // 0.37293
05508058  // 0.332154
04F162FE  // 0.308932
053F88C8  // 0.328011
0582147D  // 0.344258
054B956C  // 0.330953
0516EBE1  // 0.318096
04FDE446  // 0.311985
04B3FE46  // 0.293944
049915AB  // 0.287374
050342A3  // 0.313296
054A3998  // 0.330621
04F94135  // 0.310853
04A2B3B6  // 0.289722
04A4218E  // 0.290071
04AE3E9D  // 0.29254
04BA6972  // 0.295511
04F00F36  // 0.308608
050A9DC3  // 0.315092
04EB109C  // 0.307389
04B869D3  // 0.295023
0441E198  // 0.266084
03D6B239  // 0.239916
04C02E47  // 0.296919
06CD1AD9  // 0.425074
07889281  // 0.470843
06678E82  // 0.400282
06A34BAB  // 0.414867
09F2018D  // 0.621584
0CD3436C  // 0.801578
0B5A8B2A  // 0.709605
06AE3935  // 0.417535
02D18E2F  // 0.176161
0160CBA2  // 0.0861317
01110DAF  // 0.0666634
00AB421D  // 0.0418111
0035D15B  // 0.0131391
FFF27CBA  // -0.00329902
FFDB10BB  // -0.00901725
FFEA4BAB  // -0.00529893
001BC0F5  // 0.00677582
006CD280  // 0.0265679
011FAD49  // 0.0702336
02646445  // 0.14951
03B4CE67  // 0.231642
0448D814  // 0.267784
041F0CB3  // 0.25758
03EB1F30  // 0.244903
042E930A  // 0.261371
04C82655  // 0.298865
051FCCFD  // 0.320264
04B82D0E  // 0.294965
03E7599E  // 0.243982
03A85E6A  // 0.228606
045505D9  // 0.270758
051D3870  // 0.319634
052453ED  // 0.321369
048A20D4  // 0.283723
040198C2  // 0.25039
03EB4B09  // 0.244945
0421524A  // 0.258135
0443E5CE  // 0.266577
040B4BD0  // 0.252758
038F5F69  // 0.222503
0341FD51  // 0.203611
036B3B51  // 0.21368
03CDC9AE  // 0.237741
040036D2  // 0.250052
03DB06CA  // 0.240973
03706C63  // 0.214947
0303BC9E  // 0.188412
03034B22  // 0.188304
03844E94  // 0.219802
03FA2D36  // 0.248578
03ED27D6  // 0.245399
038A77D8  // 0.221306
033549CD  // 0.20051
03282B8C  // 0.197307
0379A22B  // 0.217196
03E09571  // 0.24233
03F7C547  // 0.247991
040EA329  // 0.253574
04933A34  // 0.285944
04D9F008  // 0.303207
043EE219  // 0.265352
03C48D8C  // 0.235487
0475A2F2  // 0.27872
056B459D  // 0.338689
05762F85  // 0.341354
05081B4A  // 0.314479
04E64EB7  // 0.306227
04E91595  // 0.306905

1286F234  // 1.15795
127F73C7  // 1.15612
1277175D  // 1.15408
123CEC1E  // 1.13987
127DEED2  // 1.15575
13490011  // 1.20532
1395BCD9  // 1.22406
13246A6C  // 1.19639
12EA74A9  // 1.18224
13521851  // 1.20754
13B704B0  // 1.23218
1393C85C  // 1.22358
1329CF4A  // 1.19771
13152990  // 1.19267
13723B74  // 1.21539
13947564  // 1.22374
131323A1  // 1.19217
1299FC38  // 1.16259
12CFE32E  // 1.17575
