0370E555  // 0.215062
0353510D  // 0.207841
03404E66  // 0.2032
03424087  // 0.203675
0351342A  // 0.207325
03598923  // 0.209359
03561F99  // 0.208526
03587BD8  // 0.209102
036DF984  // 0.214349
0390C0A9  // 0.22284
03BA84C1  // 0.233037
03EB3409  // 0.244923
041946F6  // 0.256171
04391AEE  // 0.263942
0452B04F  // 0.270188
04750134  // 0.278566
049AF3B2  // 0.28783
04B468C5  // 0.294045
04C0858E  // 0.297002
04CCA270  // 0.29996
04E0F5FF  // 0.304922
04F99AB2  // 0.310939
050D78C8  // 0.315789
051696C1  // 0.318015
0516DDBB  // 0.318083
05172198  // 0.318147

F769B809  // -0.53669
F77AA544  // -0.532557
F783CB38  // -0.530324
F779D17E  // -0.532759
F761F089  // -0.538589
F74AE6DD  // -0.544213
F7458081  // -0.545532
F7547F9B  // -0.54187
F763CCF7  // -0.538135
F75C8DB6  // -0.539904
F73F916A  // -0.54698
F7217F25  // -0.554322
F714763C  // -0.557504
F71DD839  // -0.555214
F73317E3  // -0.550026
F7397A6D  // -0.548467
F71F3306  // -0.554883
F6F88B85  // -0.56432
F6E86234  // -0.568266
F6EDF4D8  // -0.566905
F6E89B2B  // -0.568211
F6C419F7  // -0.577124
F6863DE9  // -0.592226
F643A155  // -0.608489
F61A039C  // -0.618649
F616D1FC  // -0.619429
F6196A84  // -0.618795
F5F7B33F  // -0.627026
F5C23BE0  // -0.64008
F5B5963C  // -0.643167
F5EA757F  // -0.630259
F63CC5F6  // -0.610163
F676CB79  // -0.595997
F677984A  // -0.595802
F648D56A  // -0.607218
F6276FD8  // -0.615372
F6558638  // -0.60412
F6D0017C  // -0.574217
F7518503  // -0.542598
F7A3962D  // -0.522562
F7C6F67A  // -0.513925
F7D28873  // -0.5111
F7DAFDDD  // -0.509035
F7F66836  // -0.502342
F8280664  // -0.490228
F84D1CD3  // -0.481174
F845F5B7  // -0.48292
F825E094  // -0.490753
F8169402  // -0.494488
F8201262  // -0.49217
F82DAF67  // -0.488846
F82F5289  // -0.488447
F81A6ABD  // -0.493551
F7ED8F4D  // -0.504502
F7C95B5C  // -0.513341
F7DDCA1A  // -0.508352
F82850F1  // -0.490157
F850099B  // -0.48046
F7C06BC4  // -0.515522
F6196C82  // -0.618793
F3E02FD4  // -0.757767
F25FB85C  // -0.851631
F209E0B2  // -0.872588
F18472F0  // -0.905164
EFC102C0  // -1.01538
EE7946A7  // -1.09539
F0829ABE  // -0.968114
F5CBF76C  // -0.637703
FB282FF4  // -0.302689
FE221454  // -0.11668
FF12B3AF  // -0.0579341
FF657909  // -0.0377264
FFB0E966  // -0.0193087
FFE443B5  // -0.00677137
FFF903E6  // -0.00170527
FFDEDE19  // -0.00808897
FF44072F  // -0.0458916
FDDD3474  // -0.133495
FBE2CC40  // -0.257129
FA166AC4  // -0.369527
F918E157  // -0.431426
F8D2DF8A  // -0.448517
F8BB1E1B  // -0.454317
F8849460  // -0.467632
F8484FD1  // -0.482346
F8340D58  // -0.487292
F84C8955  // -0.481314
F86C6AAC  // -0.473531
F86D3BC6  // -0.473332
F85712F7  // -0.478742
F8544B3A  // -0.47942
F874FA7C  // -0.471441
F8A1E370  // -0.460476
F8C53663  // -0.451852
F8DBC8A5  // -0.446342
F8E9C522  // -0.442927
F8FA2C0D  // -0.438923
F91C29CE  // -0.430624
F9507C9C  // -0.41785
F9834DDE  // -0.405443
F99F52DE  // -0.398603
F9A41300  // -0.397443
F9A85450  // -0.396404
F9C3FC4A  // -0.389652
F9F6A94A  // -0.37728
FA266F56  // -0.365616
FA36B50D  // -0.361644
FA2392A7  // -0.366315
FA09614D  // -0.37271
FA04BD8B  // -0.373843
FA0A87A5  // -0.372429
F9F79E31  // -0.377046
F9C282DA  // -0.390012
F97B470C  // -0.407403
F92964BF  // -0.427394
F8D254B0  // -0.44865
F88AFE2F  // -0.466066
F85AB07D  // -0.477859
F828CDE5  // -0.490038
F7E689E5  // -0.506216
F7AA32BE  // -0.520948
F7897FAD  // -0.528931
F7781482  // -0.533184
F75D128C  // -0.539777
F7332ECA  // -0.550004
F708D974  // -0.560339
F6EE2D4B  // -0.566851
F6E76E68  // -0.568498
F6E9CB45  // -0.567921

052EEB14  // 0.323955
052FE0AD  // 0.324189
051AF7DD  // 0.319084
050C03DE  // 0.315433
050F02AC  // 0.316165
0522B2CA  // 0.320971
053CAB24  // 0.327312
05474FE8  // 0.32991
05368404  // 0.325809
051E016F  // 0.319826
051C414A  // 0.319398
05346D88  // 0.3253
0551FE70  // 0.332518
05637FBE  // 0.336792
055E18B3  // 0.335473
05420314  // 0.328616
052D6816  // 0.323586
0541EFE7  // 0.328598
056C610E  // 0.33896
057A5B8C  // 0.342372
05672150  // 0.337678
0559DF94  // 0.334442
056902C8  // 0.338137
05933A84  // 0.348444
05CEFB49  // 0.363033
05F915D3  // 0.373312
05EF2F18  // 0.370895
05D3A200  // 0.364168
05EB88DD  // 0.370004
06305858  // 0.386803
0654B96D  // 0.395685
0631BA89  // 0.387141
05E6934C  // 0.368793
05A4F39A  // 0.352771
05980C6E  // 0.349621
05D01850  // 0.363304
0616BA76  // 0.380549
0611C1A8  // 0.379335
05B299EA  // 0.356104
0545664D  // 0.329443
0505E766  // 0.313941
04EDED26  // 0.308087
04EB78F4  // 0.307488
04F50003  // 0.309814
04EBE287  // 0.307589
04BB418E  // 0.295717
048BB50D  // 0.284108
0490B00F  // 0.285324
04B7218F  // 0.29471
04C8A426  // 0.298985
04BD25FC  // 0.296179
04AC6CA3  // 0.292096
049F0543  // 0.288823
04A2A1C9  // 0.289705
04CE8ECD  // 0.300429
0509C4D4  // 0.314885
050C7CC9  // 0.315549
04AED444  // 0.292683
041AF095  // 0.256577
03EA3338  // 0.244678
04EC76E5  // 0.307731
06FB4B59  // 0.436351
085A9EDC  // 0.522124
07EBF92B  // 0.495111
078B20C7  // 0.471467
099BC803  // 0.600533
0C91B3E0  // 0.785572
0C4E9760  // 0.769187
0807465D  // 0.501776
034DF23E  // 0.20653
01082AE2  // 0.064494
00A28D2E  // 0.0396854
007E289C  // 0.0308004
003A4012  // 0.0142213
00111161  // 0.00416696
FFE83292  // -0.00581115
FFA39D16  // -0.0225553
FF99DCA2  // -0.0249361
00538C5D  // 0.0203975
01D932A8  // 0.115527
03689D3F  // 0.213041
04332D36  // 0.262494
044355EF  // 0.266439
04388C9B  // 0.263806
04663B56  // 0.274959
04A73A31  // 0.290827
04C2A01B  // 0.297516
04A8E25E  // 0.291232
047F3A17  // 0.281061
047CE9B4  // 0.280496
04A043D4  // 0.289127
04B12653  // 0.293249
04990386  // 0.287357
047544F2  // 0.27863
045B64BA  // 0.272313
044BCE07  // 0.268507
04487D7C  // 0.267698
044A785D  // 0.268181
043BF828  // 0.264641
0414764B  // 0.254996
03E6F269  // 0.243884
03CEC390  // 0.237979
03D4396C  // 0.239313
03E196EF  // 0.242576
03D7AB8E  // 0.240154
03AE8279  // 0.230105
037D0238  // 0.21802
036661DE  // 0.212496
0379EFDE  // 0.21727
039974ED  // 0.224965
0398D3BE  // 0.224811
0380107A  // 0.218766
037E08CD  // 0.21827
039C4CFF  // 0.225659
03C3195E  // 0.235132
03F46E3C  // 0.247175
0436C015  // 0.263367
046A89B4  // 0.27601
047D00EE  // 0.280518
04928B80  // 0.285778
04C69730  // 0.298484
04FAC72A  // 0.311225
050DB10D  // 0.315843
050D01EF  // 0.315676
0517E96F  // 0.318338
05366E21  // 0.325789
055A9EF5  // 0.334624
0572CDF1  // 0.340528
0576232E  // 0.341342

12E2B411  // 1.18035
12C6C0D6  // 1.17352
12C989BC  // 1.1742
12EFAD93  // 1.18352
13264D8F  // 1.19685
13478DAF  // 1.20497
1338D772  // 1.20138
1312042A  // 1.1919
130A5009  // 1.19002
13371E5D  // 1.20096
1379D65A  // 1.21725
13A9680E  // 1.22886
13ADD7E8  // 1.22994
1387A45C  // 1.22062
13633D83  // 1.21173
137DD28C  // 1.21822
13CF4C32  // 1.23811
14094238  // 1.25226
140A0892  // 1.25245
14076E39  // 1.25181
1439115C  // 1.26393
14A5FC4C  // 1.29052
1537993B  // 1.32607
15B560F3  // 1.35678
15E04562  // 1.36725
15D45641  // 1.36434
15FCD041  // 1.37422
16705E10  // 1.40243
16BE36FA  // 1.42144
1687C24A  // 1.40814
15EC0B80  // 1.37013
154ED3A4  // 1.33174
150C1EF4  // 1.31546
1547BA2D  // 1.33001
15B04270  // 1.35553
15A2D6C6  // 1.35226
14D98868  // 1.30311
13BD88F9  // 1.23377
12DC1010  // 1.17873
125CD0E9  // 1.14766
1223F1B5  // 1.13378
120FD910  // 1.12887
11EBE791  // 1.12009
118DAA57  // 1.09709
11235481  // 1.07113
11088334  // 1.06458
113EF8D9  // 1.07787
116FE5BC  // 1.08982
116DC3A1  // 1.0893
1154FD42  // 1.08325
1144A0A3  // 1.07925
115495A4  // 1.08315
11A1BB76  // 1.10199
1209F315  // 1.12743
121E2ADF  // 1.13237
11A4735E  // 1.10265
1105B01D  // 1.06389
11507CF6  // 1.08215
13C38574  // 1.23523
185507A2  // 1.52076
1C99F346  // 1.78759
1E38A700  // 1.88883
1EC755AB  // 1.92367
21D5B798  // 2.11468
26278498  // 2.38465
25624465  // 2.33649
1C88C1B3  // 1.78339
10762F0E  // 1.02885
07AB4130  // 0.47931
0395F8C8  // 0.224114
01ECFC75  // 0.120358
00FF7B5B  // 0.0623735
007778F4  // 0.0291681
002BEA5E  // 0.0107216
0012A9D0  // 0.00455648
00B6135D  // 0.0444521
02E7B931  // 0.181573
06C3A30E  // 0.422763
0B0EB0BE  // 0.691087
0E195B56  // 0.881191
0F66454F  // 0.962468
0FD5BA24  // 0.989679
1047BE45  // 1.01752
10D2D4F3  // 1.05147
112930A9  // 1.07256
111DD81F  // 1.06979
10D8BB2E  // 1.05291
10B8A000  // 1.04507
10DD6952  // 1.05406
10FAE0A9  // 1.06125
10D06843  // 1.05088
1078D068  // 1.0295
1024CF90  // 1.00899
0FE4AC12  // 0.993328
0FBBF4DB  // 0.983388
0F9EA3CA  // 0.97623
0F684952  // 0.962961
0F0476DB  // 0.93859
0E8E425C  // 0.909731
0E3730DB  // 0.888474
0E1743FA  // 0.88068
0E11CD77  // 0.879346
0DEDD288  // 0.870562
0D91EDF1  // 0.848127
0D1FE5FD  // 0.820288
0CD79031  // 0.802628
0CDF9544  // 0.804586
0D179469  // 0.818257
0D346FE9  // 0.825302
0D275826  // 0.822106
0D352623  // 0.825476
0D8B1877  // 0.846459
0E10C088  // 0.87909
0EB3F341  // 0.918933
0F74DDB2  // 0.966032
1028B733  // 1.00994
10A44930  // 1.04011
110C3FDE  // 1.06549
1196D59C  // 1.09932
122A224E  // 1.13529
128B48E0  // 1.15901
12BCAA24  // 1.17106
12EFEEAF  // 1.18358
1340B7A0  // 1.2033
13A028F4  // 1.2266
13ED03AD  // 1.24536
1410D168  // 1.25411
14132138  // 1.25467
14160970  // 1.25538

