018B1A67  // 0.0964607
0191D96A  // 0.0981077
019BA01A  // 0.100494
01A1FED1  // 0.10205
01A6443F  // 0.103092
01AC7C74  // 0.104611
01B73DD4  // 0.107237
01C88293  // 0.111453
01DF20CC  // 0.116975
01F3959C  // 0.121969
01FF4B16  // 0.124827
02062678  // 0.126502
02112657  // 0.129187
02217810  // 0.133171
022FC20B  // 0.13666
023616D2  // 0.138205
0235F09D  // 0.138169
0235CBA9  // 0.138134
023A827D  // 0.139285
02425828  // 0.141197
02471669  // 0.142355
0244BE33  // 0.141783
023D30C7  // 0.139939
0236D229  // 0.138384

E82BDA2D  // -1.48929
E7CB28E0  // -1.5129
E772D71A  // -1.53446
E6D2FC67  // -1.57349
E60568C7  // -1.62368
E54C1CA1  // -1.66892
E4D6D94D  // -1.69755
E4B709BD  // -1.70531
E4BC8FBF  // -1.70396
E48DD8D5  // -1.71537
E41B2AA7  // -1.74337
E3AA1F2E  // -1.77097
E35C24FE  // -1.79
E319639B  // -1.8063
E2E44838  // -1.81927
E2C8A997  // -1.82601
E2A50931  // -1.83471
E26DD564  // -1.84819
E269854D  // -1.84924
E2DEDC49  // -1.82059
E3B00BCF  // -1.76952
E45A0511  // -1.72802
E45EA9AC  // -1.72689
E3EA2CF1  // -1.75533
E3DC80AA  // -1.75867
E4B1BDCB  // -1.70661
E5B5320F  // -1.64326
E5EDE4F0  // -1.62942
E5709D21  // -1.66001
E51A54E5  // -1.68107
E55D8052  // -1.66467
E5EBB11A  // -1.62996
E64327C1  // -1.6086
E62A6AF0  // -1.61464
E5D0D78A  // -1.63651
E59E4375  // -1.64886
E5C2307A  // -1.64009
E6013AB5  // -1.6247
E60C2062  // -1.62204
E5D62D1C  // -1.63521
E57FEF8E  // -1.65627
E532876E  // -1.67516
E5204EFA  // -1.67961
E55B5F34  // -1.66519
E5A14D56  // -1.64812
E59B3B96  // -1.6496
E54D50F2  // -1.66862
E502D8FB  // -1.6868
E4E7CAF8  // -1.69341
E4F5F30A  // -1.68995
E5127D4F  // -1.68299
E5047EFA  // -1.6864
E49FE5BC  // -1.71096
E428D2D3  // -1.74003
E41EAB13  // -1.74251
E48DE259  // -1.71536
E5106980  // -1.68349
E52775B3  // -1.67787
E3CABEBC  // -1.763
DFA21925  // -2.02293
D96640BE  // -2.41254
D49588E9  // -2.71349
D2EB15A9  // -2.81761
D0E73768  // -2.94355
CB50CC30  // -3.29277
C6C19657  // -3.57774
CBC6B40B  // -3.26399
DB62A7F5  // -2.28841
ECFE96FB  // -1.18784
F86C5811  // -0.473549
FD109F36  // -0.183442
FE9985F2  // -0.0875187
FF69E443  // -0.0366475
FFDB9D6F  // -0.00888306
FFC87D24  // -0.0135525
FECA91C4  // -0.0755446
FC0F6422  // -0.246242
F723386E  // -0.553901
F0F5B369  // -0.940014
EB9B4047  // -1.2746
E8979DAC  // -1.46298
E78C07AB  // -1.52831
E70B6DEF  // -1.55971
E66408C3  // -1.60058
E5E96326  // -1.63052
E5E1F4F2  // -1.63233
E60E85AF  // -1.62145
E624E274  // -1.61599
E623AD89  // -1.61629
E632CD3A  // -1.6126
E67AC592  // -1.59503
E7001FC1  // -1.56247
E78BE80B  // -1.52834
E7E43524  // -1.50679
E81C5638  // -1.49308
E87771E6  // -1.47084
E90906EA  // -1.4353
E9AA6BDC  // -1.39589
EA38435B  // -1.36126
EAA10B7A  // -1.33568
EAD3C30B  // -1.3233
EAE02968  // -1.32027
EB10CA69  // -1.3084
EB9FE8A5  // -1.27346
EC57AD43  // -1.22859
ECBA1697  // -1.20457
EC904D72  // -1.21477
EC1F1CEF  // -1.2424
EBC15FF8  // -1.26529
EB851437  // -1.28001
EB40D90E  // -1.29667
EACDC4F7  // -1.32476
EA0FD8FA  // -1.37113
E9087B34  // -1.43543
E7FE4920  // -1.50042
E74A4B9C  // -1.54436
E6E4E4B8  // -1.56912
E66E0116  // -1.59814
E5B5F5E3  // -1.64308
E4F926C3  // -1.68917
E48A7971  // -1.71619
E47525B4  // -1.7214
E4798B9E  // -1.72033
E4523A9F  // -1.72992
E3FAE303  // -1.75125
E3B17ECC  // -1.76917
E3B2C627  // -1.76885
E3FEBEA3  // -1.75031
E4557D67  // -1.72913

FE8F23F7  // -0.0900536
FE9625C8  // -0.0883429
FE820EA0  // -0.0932478
FE692B75  // -0.0993238
FE5DA6E9  // -0.102136
FE5E89CB  // -0.101919
FE6ABB0B  // -0.0989427
FE795249  // -0.0953805
FE747749  // -0.0965659
FE5D9463  // -0.102153
FE515376  // -0.105145
FE5519F0  // -0.104223
FE549F6A  // -0.10434
FE507AE7  // -0.105352
FE54C21A  // -0.104307
FE5600D5  // -0.104003
FE4B9B2F  // -0.106541
FE4A5F0C  // -0.106843
FE624886  // -0.101005
FE84FBD6  // -0.0925333
FE966589  // -0.0882821
FE821D45  // -0.0932338
FE57F4FA  // -0.103526
FE519385  // -0.105084
FE8798DB  // -0.0918952
FEB9CA42  // -0.0796411
FEA69FAA  // -0.0843204
FE6FD3AD  // -0.0976985
FE5FF89E  // -0.10157
FE7EECF3  // -0.0940123
FE9ECC63  // -0.0862309
FEA31F40  // -0.0851753
FE8FA8EA  // -0.0899268
FE77C5A9  // -0.0957588
FE72DF60  // -0.0969549
FE84F8A5  // -0.0925363
FE9579F0  // -0.0885068
FE9122D0  // -0.0895664
FE816137  // -0.0934131
FE74C829  // -0.0964888
FE6DEA56  // -0.0981652
FE718818  // -0.0972823
FE839DD0  // -0.0928671
FE92E8AD  // -0.0891336
FE8A550F  // -0.0912275
FE742993  // -0.09664
FE6AA94A  // -0.0989596
FE70BB0D  // -0.0974779
FE793C01  // -0.0954018
FE8040F6  // -0.093688
FE7FAE24  // -0.0938281
FE6BD7A5  // -0.0986713
FE552122  // -0.104216
FE5E4EDD  // -0.101976
FE7FFA8B  // -0.0937552
FE9310B4  // -0.0890954
FE8FE420  // -0.0898703
FE66E7D3  // -0.0998766
FDCFB9A5  // -0.136786
FCE1D443  // -0.194866
FC7C5CE4  // -0.219638
FD0A5AAA  // -0.184972
FD617B3F  // -0.163701
FC6CD0E7  // -0.223434
FB7790F1  // -0.283309
FCB7FBD9  // -0.205082
FFD114AE  // -0.0114549
020B1437  // 0.127705
01FDC51C  // 0.124456
00E11AA6  // 0.0549571
00373B8A  // 0.0134845
001D669F  // 0.00717795
0018F3F7  // 0.00609204
00065C54  // 0.00155289
FFE47A17  // -0.0067195
FF8C8D0E  // -0.0281858
FEE9D759  // -0.0679099
FE35C75E  // -0.11187
FDD9C280  // -0.134336
FE031028  // -0.124252
FE6268CC  // -0.100974
FE8A4D38  // -0.091235
FE7544B7  // -0.09637
FE695119  // -0.0992879
FE7E38D5  // -0.0941841
FE919788  // -0.0894551
FE910542  // -0.0895946
FE8A4243  // -0.0912454
FE89EA69  // -0.0913292
FE9423B5  // -0.0888331
FEA80BEB  // -0.083973
FEB7F5F8  // -0.0800877
FEB65CE8  // -0.0804778
FEAE0BE7  // -0.0825082
FEB43A02  // -0.0809994
FEC7CB2F  // -0.0762222
FED743A0  // -0.0724453
FEDD544F  // -0.0709645
FEDF2797  // -0.0705189
FEDAF06B  // -0.0715481
FED0D08A  // -0.0740199
FED0FA1E  // -0.0739802
FEE7D9F4  // -0.0683957
FF03B448  // -0.0615956
FF057DC5  // -0.0611594
FEEA40ED  // -0.0678092
FECF0FFC  // -0.0744476
FEC91D09  // -0.0759
FECE6B7B  // -0.0746045
FECCEDD7  // -0.0749685
FEC188F1  // -0.0777503
FEAD788C  // -0.0826487
FE90058E  // -0.0898385
FE76EE9A  // -0.0959639
FE7612E5  // -0.0961734
FE8484F2  // -0.0926467
FE834910  // -0.0929479
FE6BE236  // -0.0986612
FE57B860  // -0.103584
FE59A91C  // -0.10311
FE6A3577  // -0.0990701
FE75AB2D  // -0.0962723
FE6FD570  // -0.0976968
FE5F3D7B  // -0.101748
FE569685  // -0.10386
FE5FD30B  // -0.101605
FE73718E  // -0.0968155
FE816EFF  // -0.0934
FE7CE5C4  // -0.0945074

23CA6931  // 2.23692
246A7E60  // 2.276
24E9028F  // 2.30689
25CC92B7  // 2.36244
26FF317A  // 2.4373
281C6E30  // 2.50694
28D85E7B  // 2.55282
291534FA  // 2.56768
290E8FB3  // 2.56606
2947D32F  // 2.58004
29EBE142  // 2.62009
2A9BC098  // 2.66303
2B165DC2  // 2.69296
2B79E512  // 2.71726
2BCD3366  // 2.7376
2BFB3D1F  // 2.74884
2C2C7F86  // 2.76086
2C7CC6F5  // 2.78046
2C8FE870  // 2.78513
2BF3AA5C  // 2.74699
2AC2559A  // 2.67244
29B4DA3A  // 2.60665
298FEFBB  // 2.59764
2A334B80  // 2.63752
