0152CC78  // 0.0827145
016A8327  // 0.088504
01831514  // 0.0945025
019F4DC7  // 0.101393
01BDCC15  // 0.108837
01D991CF  // 0.115618
01F1CBCE  // 0.121532
02073D55  // 0.126767
021642D2  // 0.130435
021C5AF7  // 0.131923
022021EF  // 0.132845
022AD8DE  // 0.135461
023ADB5D  // 0.139369
0244C980  // 0.141794
02439E87  // 0.141509
023FE55E  // 0.1406
0243B25E  // 0.141528
024EE99A  // 0.144266
025B1357  // 0.147235
0262DA28  // 0.149134
02628A38  // 0.149058
025A3FD4  // 0.147034

E4D2A4DB  // -1.69857
E4FAE2BF  // -1.68875
E54A65F3  // -1.66934
E567FBE1  // -1.66211
E51F60E3  // -1.67984
E4BCC697  // -1.70391
E4B85E34  // -1.70499
E5088F92  // -1.68541
E53F02BF  // -1.67212
E52E5062  // -1.67619
E4F56AC1  // -1.69008
E4A61C98  // -1.70945
E45EC7CD  // -1.72686
E46810B0  // -1.72459
E4BECB91  // -1.70342
E4E573E8  // -1.69398
E492B2D3  // -1.71418
E416A317  // -1.74447
E3CC372A  // -1.76264
E3AF52A0  // -1.7697
E3998C13  // -1.77501
E35AEE9C  // -1.7903
E2B95371  // -1.82975
E1D5DA52  // -1.88529
E12E8BBA  // -1.92614
E0DD370F  // -1.94599
E070B3F6  // -1.97248
DFBBE53F  // -2.01663
DF1FB9CB  // -2.05475
DF04E4D2  // -2.06131
DF8D0A0A  // -2.02807
E06DE873  // -1.97317
E0C8D91B  // -1.95096
DFEB371D  // -2.00507
DE7DB551  // -2.09431
DE061B5C  // -2.12351
DF0D46D1  // -2.05926
E0AFEFAF  // -1.95705
E1FFB671  // -1.87507
E2D50245  // -1.823
E352A350  // -1.79232
E38EF065  // -1.7776
E3C516C6  // -1.76438
E42CDCBD  // -1.73905
E49B8B5A  // -1.71203
E4B9109A  // -1.70482
E47E3897  // -1.71918
E43602BB  // -1.73681
E41D286F  // -1.74288
E42C1633  // -1.73924
E4331E36  // -1.73752
E418E133  // -1.74393
E3EBAFE0  // -1.75496
E3BE6456  // -1.76602
E3BA1510  // -1.76707
E43BF02F  // -1.73537
E52C4286  // -1.67669
E5199744  // -1.68125
E20234DA  // -1.87446
DBCBF168  // -2.26271
D57F6088  // -2.6564
D2C52D34  // -2.82686
D34948B7  // -2.79461
D2085A6F  // -2.87296
CC0977B7  // -3.24769
C6E469BC  // -3.56924
CBBDF301  // -3.26613
DB4ADF71  // -2.29422
EC4161F0  // -1.23404
F6AAB2D7  // -0.583326
FB09AB3A  // -0.310139
FD541138  // -0.166976
FEEF2D5E  // -0.0666071
FF9D1B0F  // -0.0241441
FFCDC26F  // -0.0122657
FFC7BF9D  // -0.0137333
FE8700B2  // -0.0920404
FA9A252D  // -0.337367
F3E6E1B6  // -0.756132
EC8EBCF3  // -1.21515
E7735052  // -1.53435
E5668BE4  // -1.66246
E4CBE557  // -1.70022
E42BF6F0  // -1.73927
E3A97919  // -1.77112
E3C91960  // -1.7634
E45B5488  // -1.7277
E4E38EE9  // -1.69444
E518597E  // -1.68156
E4FA4D66  // -1.68889
E4ECC1D6  // -1.6922
E5700795  // -1.66015
E678DC15  // -1.59549
E7645D84  // -1.538
E7BB7CB5  // -1.51673
E7B80BFC  // -1.51757
E7EBA3E6  // -1.50497
E8960E2C  // -1.46337
E97D0BD6  // -1.40697
EA5899EE  // -1.35337
EB26FAE3  // -1.30298
EC03E985  // -1.24904
ECF78B67  // -1.18956
EE0E796C  // -1.12147
EF479570  // -1.04502
F04512C1  // -0.983136
F07A6511  // -0.970118
EFD146AE  // -1.01141
EEBAB86D  // -1.07941
ED8B4E0A  // -1.15349
EC39DFE5  // -1.23587
EAC5A59B  // -1.32675
E9600EBD  // -1.41405
E824302D  // -1.49116
E70D5953  // -1.55924
E63842C9  // -1.61126
E5CB263B  // -1.6379
E596A861  // -1.65072
E52D5BE8  // -1.67643
E47762AA  // -1.72085
E3E0CEA8  // -1.75762
E3C5604B  // -1.76431
E3EDDA2E  // -1.75443
E3DDDB76  // -1.75834
E36D9E5A  // -1.78574
E2D6F664  // -1.82252
E262A45C  // -1.85092
E2468C59  // -1.85778
E29160F1  // -1.83951

FE7A4DBF  // -0.0951407
FE8B3E35  // -0.0910051
FE8DA981  // -0.0904145
FE77EE3C  // -0.0957201
FE60F966  // -0.101325
FE6A3B20  // -0.0990647
FE863652  // -0.0922334
FE8D1E43  // -0.0905473
FE7DFD8F  // -0.0942406
FE723E4B  // -0.0971086
FE6ACAE4  // -0.0989276
FE618ECB  // -0.101182
FE68AF7A  // -0.099442
FE82E00B  // -0.0930481
FE8A4909  // -0.0912389
FE6ECDE4  // -0.0979482
FE55E349  // -0.104031
FE582656  // -0.103479
FE616A09  // -0.101217
FE635D35  // -0.100741
FE5FAFB3  // -0.101639
FE4A6E04  // -0.106829
FE28034E  // -0.115231
FE1E5566  // -0.117594
FE308458  // -0.113155
FE30846F  // -0.113155
FE14662D  // -0.12002
FE043FD7  // -0.123963
FE122760  // -0.120568
FE3365AC  // -0.112452
FE5BD9C3  // -0.102576
FE650EE2  // -0.100328
FE287990  // -0.115118
FDD98F76  // -0.134385
FDDD929E  // -0.133405
FE35CDF1  // -0.111864
FE80A19B  // -0.0935959
FE8D872A  // -0.0904473
FE8208D7  // -0.0932533
FE7B4009  // -0.0949096
FE71C6C6  // -0.0972225
FE6C16FB  // -0.0986109
FE79A9A9  // -0.0952972
FE8A6169  // -0.0912157
FE83FC7F  // -0.0927768
FE6D47FA  // -0.09832
FE6002C9  // -0.10156
FE649E97  // -0.100435
FE6F9DB4  // -0.09775
FE72A6FB  // -0.0970087
FE6B3A32  // -0.0988215
FE63AFE5  // -0.100662
FE606DE1  // -0.101458
FE5F69FF  // -0.101706
FE727006  // -0.0970611
FEA2E922  // -0.0852269
FEAC6258  // -0.082914
FE2857A2  // -0.115151
FD28DF20  // -0.177522
FC692158  // -0.224333
FCA09E30  // -0.210787
FD82A279  // -0.155607
FDAFF4ED  // -0.144542
FC71340A  // -0.222362
FB59FFCD  // -0.290528
FCA7101D  // -0.209213
FFD6DA1A  // -0.0100459
01F96234  // 0.123385
01B4D41D  // 0.106648
009B9F2C  // 0.0379936
00389F35  // 0.0138237
00452A34  // 0.016886
0025C7B8  // 0.00922367
0002D9EF  // 0.000696119
00077091  // 0.00181634
FFE9C46B  // -0.00542792
FF5DB516  // -0.0396222
FE73E0BB  // -0.0967095
FDA98387  // -0.146115
FD8B3548  // -0.153514
FE017091  // -0.124649
FE607934  // -0.101447
FE5A926B  // -0.102888
FE4500C0  // -0.108154
FE5F6F72  // -0.1017
FE857874  // -0.0924144
FE92EDC6  // -0.0891287
FE8BEA3D  // -0.0908411
FE78E7A4  // -0.0954822
