-2.03623  // -2.03623
-1.98675  // -1.98675
-1.96585  // -1.96585
-1.98494  // -1.98494
-2.16494  // -2.16494
-2.2914  // -2.2914
-2.26325  // -2.26325
-2.2307  // -2.2307
-1.93689  // -1.93689
-1.88181  // -1.88181
-1.84684  // -1.84684
-1.80405  // -1.80405
-1.82948  // -1.82948
-2.50069  // -2.50069
-3.77773  // -3.77773
-1.92192  // -1.92192
0.498798  // 0.498798
-0.313271  // -0.313271
-1.51459  // -1.51459
-1.8285  // -1.8285
-1.76115  // -1.76115
-1.71291  // -1.71291
-1.52985  // -1.52985
-1.42087  // -1.42087
-1.37564  // -1.37564
-1.34231  // -1.34231
-1.40806  // -1.40806
-1.57159  // -1.57159
-1.7744  // -1.7744
-1.92229  // -1.92229

0.75529  // 0.75529
0.574841  // 0.574841
0.518141  // 0.518141
0.622247  // 0.622247
0.995163  // 0.995163
1.09735  // 1.09735
0.872465  // 0.872465
0.457393  // 0.457393
0.0420887  // 0.0420887
0.185629  // 0.185629
0.237092  // 0.237092
0.515578  // 0.515578
0.475556  // 0.475556
1.96567  // 1.96567
4.48084  // 4.48084
-1.90535  // -1.90535
-6.80771  // -6.80771
-0.639355  // -0.639355
2.80602  // 2.80602
2.70832  // 2.70832
0.734475  // 0.734475
0.347669  // 0.347669
0.313061  // 0.313061
-0.106733  // -0.106733
0.0676143  // 0.0676143
0.428944  // 0.428944
0.465376  // 0.465376
0.790568  // 0.790568
1.1579  // 1.1579
0.966819  // 0.966819

