1.66474  // 1.66474
1.18864  // 1.18864
1.41247  // 1.41247
1.61973  // 1.61973
1.60693  // 1.60693
1.52918  // 1.52918
1.40895  // 1.40895
0.16131  // 0.16131
6.00012  // 6.00012
5.33462  // 5.33462
1.66936  // 1.66936
2.19128  // 2.19128
2.68038  // 2.68038
2.62806  // 2.62806
1.80185  // 1.80185
0.591873  // 0.591873
0.402484  // 0.402484
0.365247  // 0.365247
0.46777  // 0.46777
0.475822  // 0.475822
0.453459  // 0.453459
0.73777  // 0.73777
2.49581  // 2.49581
1.57411  // 1.57411
2.05536  // 2.05536
0.555734  // 0.555734
0.563054  // 0.563054
0.74087  // 0.74087
0.81403  // 0.81403
0.655456  // 0.655456
