-0.0834961  // -0.0834961
-0.0874023  // -0.0874023
-0.0908203  // -0.0908203
-0.0915527  // -0.0915527
-0.0949707  // -0.0949707
-0.0969238  // -0.0969238
-0.0969238  // -0.0969238
-0.0942383  // -0.0942383
-0.0883789  // -0.0883789
-0.0812988  // -0.0812988
-0.0754395  // -0.0754395
-0.0734863  // -0.0734863
-0.0732422  // -0.0732422
-0.0744629  // -0.0744629
-0.0761719  // -0.0761719
-0.0759277  // -0.0759277
-0.0778809  // -0.0778809
-0.079834  // -0.079834
-0.0834961  // -0.0834961
-0.0881348  // -0.0881348
-0.0900879  // -0.0900879
-0.0859375  // -0.0859375
-0.0773926  // -0.0773926
-0.0656738  // -0.0656738
-0.0537109  // -0.0537109
-0.0473633  // -0.0473633
-0.0498047  // -0.0498047
-0.0571289  // -0.0571289
-0.0686035  // -0.0686035
-0.0791016  // -0.0791016
-0.0839844  // -0.0839844
-0.0839844  // -0.0839844
-0.079834  // -0.079834
-0.0761719  // -0.0761719
-0.0739746  // -0.0739746
-0.074707  // -0.074707
-0.0791016  // -0.0791016
-0.0812988  // -0.0812988
-0.083252  // -0.083252
-0.0800781  // -0.0800781
-0.0754395  // -0.0754395
-0.0698242  // -0.0698242
-0.064209  // -0.064209
-0.0625  // -0.0625
-0.0625  // -0.0625
-0.0634766  // -0.0634766
-0.064209  // -0.064209
-0.0625  // -0.0625
-0.0593262  // -0.0593262
-0.0537109  // -0.0537109
-0.0495605  // -0.0495605
-0.0454102  // -0.0454102
-0.043457  // -0.043457
-0.0437012  // -0.0437012
-0.0441895  // -0.0441895
-0.0437012  // -0.0437012
-0.0424805  // -0.0424805
-0.0400391  // -0.0400391
-0.0380859  // -0.0380859
-0.0368652  // -0.0368652
-0.0373535  // -0.0373535
-0.041748  // -0.041748
-0.0483398  // -0.0483398
-0.0571289  // -0.0571289
-0.0629883  // -0.0629883
-0.0656738  // -0.0656738
-0.0615234  // -0.0615234
-0.0522461  // -0.0522461
-0.0385742  // -0.0385742
-0.026123  // -0.026123
-0.0170898  // -0.0170898
-0.0185547  // -0.0185547
-0.0280762  // -0.0280762
-0.0444336  // -0.0444336
-0.060791  // -0.060791
-0.0754395  // -0.0754395
-0.0825195  // -0.0825195
-0.0822754  // -0.0822754
-0.0769043  // -0.0769043
-0.0712891  // -0.0712891
-0.0646973  // -0.0646973
-0.0622559  // -0.0622559
-0.0651855  // -0.0651855
-0.0686035  // -0.0686035
-0.074707  // -0.074707
-0.0839844  // -0.0839844
-0.0927734  // -0.0927734
-0.0998535  // -0.0998535
-0.104736  // -0.104736
-0.105469  // -0.105469
-0.101807  // -0.101807
-0.0961914  // -0.0961914
-0.0913086  // -0.0913086
-0.0871582  // -0.0871582
-0.0842285  // -0.0842285
-0.0822754  // -0.0822754
-0.0810547  // -0.0810547
-0.0769043  // -0.0769043
-0.0710449  // -0.0710449
-0.0666504  // -0.0666504
-0.0639648  // -0.0639648
-0.0629883  // -0.0629883
-0.0654297  // -0.0654297
-0.0698242  // -0.0698242
-0.0732422  // -0.0732422
-0.076416  // -0.076416
-0.076416  // -0.076416
-0.076416  // -0.076416
-0.0761719  // -0.0761719
-0.0766602  // -0.0766602
-0.0791016  // -0.0791016
-0.0849609  // -0.0849609
-0.0915527  // -0.0915527
-0.0966797  // -0.0966797
-0.100098  // -0.100098
-0.100586  // -0.100586
-0.097168  // -0.097168
-0.0871582  // -0.0871582
-0.0722656  // -0.0722656
-0.050293  // -0.050293
-0.0249023  // -0.0249023
0.00317383  // 0.00317383
0.0297852  // 0.0297852
0.0522461  // 0.0522461
0.0646973  // 0.0646973
0.0668945  // 0.0668945
0.0629883  // 0.0629883
0.0620117  // 0.0620117
0.0698242  // 0.0698242
0.0898438  // 0.0898438
0.122803  // 0.122803
0.1521  // 0.1521
0.163818  // 0.163818
0.148438  // 0.148438
0.101318  // 0.101318
0.0288086  // 0.0288086
-0.0556641  // -0.0556641
-0.135498  // -0.135498
-0.200195  // -0.200195
-0.244629  // -0.244629
-0.269043  // -0.269043
-0.280762  // -0.280762
-0.284912  // -0.284912
-0.287598  // -0.287598
-0.289307  // -0.289307
-0.291504  // -0.291504
-0.294678  // -0.294678
-0.298584  // -0.298584
-0.304443  // -0.304443
-0.310791  // -0.310791
-0.316406  // -0.316406
-0.318115  // -0.318115
-0.315918  // -0.315918
-0.307373  // -0.307373
-0.293945  // -0.293945
-0.276367  // -0.276367
-0.253418  // -0.253418
-0.226318  // -0.226318
-0.19751  // -0.19751
-0.169922  // -0.169922
-0.146484  // -0.146484
-0.131104  // -0.131104
-0.122314  // -0.122314
-0.118164  // -0.118164
-0.118408  // -0.118408
-0.116211  // -0.116211
-0.109863  // -0.109863
-0.104248  // -0.104248
-0.100098  // -0.100098
-0.0996094  // -0.0996094
-0.104736  // -0.104736
-0.112061  // -0.112061
-0.116699  // -0.116699
-0.117188  // -0.117188
-0.111328  // -0.111328
-0.104736  // -0.104736
-0.0986328  // -0.0986328
-0.0944824  // -0.0944824
-0.0957031  // -0.0957031
-0.101318  // -0.101318
-0.108154  // -0.108154
-0.113525  // -0.113525
-0.115723  // -0.115723
-0.114258  // -0.114258
-0.114258  // -0.114258
-0.114014  // -0.114014
-0.115234  // -0.115234
-0.116943  // -0.116943
-0.118652  // -0.118652
-0.119629  // -0.119629
-0.121338  // -0.121338
-0.123047  // -0.123047
-0.125732  // -0.125732
-0.127686  // -0.127686
-0.131104  // -0.131104
-0.134033  // -0.134033
-0.135742  // -0.135742
-0.135986  // -0.135986
-0.137207  // -0.137207
-0.138428  // -0.138428
-0.139648  // -0.139648
-0.142578  // -0.142578
-0.145752  // -0.145752
-0.14917  // -0.14917
-0.152344  // -0.152344
-0.154297  // -0.154297
-0.153809  // -0.153809
-0.152588  // -0.152588
-0.149902  // -0.149902
-0.149658  // -0.149658
-0.1521  // -0.1521
-0.15625  // -0.15625
-0.160645  // -0.160645
-0.16333  // -0.16333
-0.163818  // -0.163818
-0.160645  // -0.160645
-0.156494  // -0.156494
-0.1521  // -0.1521
-0.150635  // -0.150635
-0.150635  // -0.150635
-0.152344  // -0.152344
-0.154541  // -0.154541
-0.154785  // -0.154785
-0.152832  // -0.152832
-0.148682  // -0.148682
-0.144043  // -0.144043
-0.139648  // -0.139648
-0.135498  // -0.135498
-0.133789  // -0.133789
-0.133057  // -0.133057
-0.130615  // -0.130615
-0.129395  // -0.129395
-0.126221  // -0.126221
-0.123047  // -0.123047
-0.118164  // -0.118164
-0.113525  // -0.113525
-0.107422  // -0.107422
-0.101807  // -0.101807
-0.0964355  // -0.0964355
-0.0932617  // -0.0932617
-0.0935059  // -0.0935059
-0.0952148  // -0.0952148
-0.0969238  // -0.0969238
-0.0986328  // -0.0986328
-0.0964355  // -0.0964355
-0.0935059  // -0.0935059
-0.0893555  // -0.0893555
-0.083252  // -0.083252
-0.079834  // -0.079834
-0.0786133  // -0.0786133
-0.0791016  // -0.0791016
-0.0808105  // -0.0808105
