0.48502  // 0.48502
0.479358  // 0.479358
0.474511  // 0.474511
0.468951  // 0.468951
0.462654  // 0.462654
0.457773  // 0.457773
0.45746  // 0.45746
0.463649  // 0.463649
0.475417  // 0.475417
0.489109  // 0.489109
0.500273  // 0.500273
0.506084  // 0.506084
0.506687  // 0.506687
0.504537  // 0.504537
0.502312  // 0.502312
0.500883  // 0.500883
0.498873  // 0.498873
0.494162  // 0.494162
0.486318  // 0.486318
0.478115  // 0.478115
0.474837  // 0.474837
0.481456  // 0.481456
0.49927  // 0.49927
0.524138  // 0.524138
0.547635  // 0.547635
0.560777  // 0.560777
0.558409  // 0.558409
0.541818  // 0.541818
0.518125  // 0.518125
0.496787  // 0.496787
0.485062  // 0.485062
0.484866  // 0.484866
0.492551  // 0.492551
0.501465  // 0.501465
0.505736  // 0.505736
0.503179  // 0.503179
0.495947  // 0.495947
0.488868  // 0.488868
0.486602  // 0.486602
0.491249  // 0.491249
0.501514  // 0.501514
0.513679  // 0.513679
0.523628  // 0.523628
0.528819  // 0.528819
0.529297  // 0.529297
0.527399  // 0.527399
0.526437  // 0.526437
0.529068  // 0.529068
0.536107  // 0.536107
0.546252  // 0.546252
0.556809  // 0.556809
0.565017  // 0.565017
0.569335  // 0.569335
0.570078  // 0.570078
0.569129  // 0.569129
0.568875  // 0.568875
0.570934  // 0.570934
0.575269  // 0.575269
0.580123  // 0.580123
0.58271  // 0.58271
0.580381  // 0.580381
0.571814  // 0.571814
0.557853  // 0.557853
0.541727  // 0.541727
0.528502  // 0.528502
0.523662  // 0.523662
0.531085  // 0.531085
0.550978  // 0.550978
0.578778  // 0.578778
0.605897  // 0.605897
0.622492  // 0.622492
0.621386  // 0.621386
0.60135  // 0.60135
0.568014  // 0.568014
0.53169  // 0.53169
0.503056  // 0.503056
0.488834  // 0.488834
0.489571  // 0.489571
0.500452  // 0.500452
0.514316  // 0.514316
0.524989  // 0.524989
0.529143  // 0.529143
0.526202  // 0.526202
0.517081  // 0.517081
0.503086  // 0.503086
0.485804  // 0.485804
0.467646  // 0.467646
0.452089  // 0.452089
0.442829  // 0.442829
0.44212  // 0.44212
0.449364  // 0.449364
0.461127  // 0.461127
0.472831  // 0.472831
0.481143  // 0.481143
0.485621  // 0.485621
0.488531  // 0.488531
0.493017  // 0.493017
0.500859  // 0.500859
0.511241  // 0.511241
0.521197  // 0.521197
0.527341  // 0.527341
0.527704  // 0.527704
0.522655  // 0.522655
0.514546  // 0.514546
0.506484  // 0.506484
0.500964  // 0.500964
0.498956  // 0.498956
0.499668  // 0.499668
0.500936  // 0.500936
0.500069  // 0.500069
0.494942  // 0.494942
0.485041  // 0.485041
0.471962  // 0.471962
0.459094  // 0.459094
0.450507  // 0.450507
0.449666  // 0.449666
0.458686  // 0.458686
0.478524  // 0.478524
0.509624  // 0.509624
